1.0
 
[-8.74793306e-03 -1.99957320e+01],[ 4.31281937e-03 -1.99957822e+01],[ -0.0352399  -19.98950825]
[0.34999074 0.20803522],[0.75000457 0.23928514],[0.6640252  0.39280742]
[0.34999033 0.20710356],[0.75000477 0.23835347],[0.66402356 0.39187605]
[0.34998992 0.20615186],[0.75000497 0.23740177],[0.66402188 0.39092464]
[0.34998949 0.20518012],[0.75000518 0.23643003],[0.66402017 0.38995321]
[0.34998906 0.20418835],[0.75000539 0.23543826],[0.66401843 0.38896174]
[0.34998862 0.20317654],[0.75000561 0.23442645],[0.66401665 0.38795025]
[0.34998817 0.2021447 ],[0.75000583 0.2333946 ],[0.66401483 0.38691873]
[0.34998771 0.20109282],[0.75000606 0.23234272],[0.66401298 0.38586718]
[0.34998724 0.20002091],[0.75000629 0.2312708 ],[0.6640111 0.3847956]
[0.34998676 0.19892896],[0.75000653 0.23017885],[0.66400917 0.38370398]
[0.34998628 0.19781697],[0.75000677 0.22906686],[0.66400722 0.38259234]
[0.34998578 0.19668495],[0.75000701 0.22793484],[0.66400523 0.38146067]
[0.34998528 0.19553289],[0.75000726 0.22678278],[0.6640032  0.38030897]
[0.34998477 0.1943608 ],[0.75000751 0.22561068],[0.66400114 0.37913724]
[0.34998424 0.19316867],[0.75000777 0.22441855],[0.66399904 0.37794548]
[0.34998372 0.1919565 ],[0.75000803 0.22320638],[0.66399691 0.3767337 ]
[0.34998318 0.1907243 ],[0.75000829 0.22197417],[0.66399474 0.37550188]
[0.34998263 0.18947206],[0.75000856 0.22072193],[0.66399253 0.37425003]
[0.34998207 0.18819979],[0.75000884 0.21944966],[0.66399029 0.37297815]
[0.34998151 0.1869084 ],[0.75000912 0.21815827],[0.66398802 0.37168716]
[0.34998094 0.18561215],[0.75000939 0.21686201],[0.66398574 0.37039131]
[0.34998038 0.18431589],[0.75000967 0.21556575],[0.66398346 0.36909546]
[0.34997981 0.18301964],[0.75000995 0.21426949],[0.66398118 0.36779961]
[0.34997924 0.18172339],[0.75001023 0.21297324],[0.6639789  0.36650376]
[0.34997868 0.18042713],[0.75001051 0.21167698],[0.66397662 0.36520791]
[0.34997811 0.17913088],[0.75001079 0.21038072],[0.66397434 0.36391206]
[0.34997755 0.17783462],[0.75001107 0.20908446],[0.66397206 0.36261621]
[0.34997698 0.17653837],[0.75001135 0.20778821],[0.66396977 0.36132035]
[0.34997641 0.17524212],[0.75001163 0.20649195],[0.66396749 0.3600245 ]
[0.34997585 0.17394586],[0.75001191 0.20519569],[0.66396521 0.35872865]
[0.34997528 0.17264961],[0.75001219 0.20389943],[0.66396293 0.3574328 ]
[0.34997471 0.17135335],[0.75001247 0.20260318],[0.66396065 0.35613695]
[0.34997415 0.1700571 ],[0.75001274 0.20130692],[0.66395837 0.3548411 ]
[0.34997358 0.16876084],[0.75001302 0.20001066],[0.66395609 0.35354525]
[0.34997302 0.16746459],[0.7500133 0.1987144],[0.66395381 0.35224939]
[0.34997245 0.16616834],[0.75001358 0.19741815],[0.66395153 0.35095354]
[0.34997188 0.16487208],[0.75001386 0.19612189],[0.66394925 0.34965769]
[0.34997132 0.16357583],[0.75001414 0.19482563],[0.66394696 0.34836184]
[0.34997075 0.16227957],[0.75001442 0.19352938],[0.66394468 0.34706599]
[0.34997018 0.16098332],[0.7500147  0.19223312],[0.6639424  0.34577014]
[0.34996962 0.15968707],[0.75001498 0.19093686],[0.66394012 0.34447429]
[0.34996905 0.15839081],[0.75001526 0.1896406 ],[0.66393784 0.34317843]
[0.34996849 0.15709456],[0.75001554 0.18834435],[0.66393556 0.34188258]
[0.34996792 0.1557983 ],[0.75001582 0.18704809],[0.66393328 0.34058673]
[0.34996735 0.15450205],[0.75001609 0.18575183],[0.663931   0.33929088]
[0.34996679 0.15320579],[0.75001637 0.18445557],[0.66392872 0.33799503]
[0.34996622 0.15190954],[0.75001665 0.18315932],[0.66392644 0.33669918]
[0.34996565 0.15061329],[0.75001693 0.18186306],[0.66392415 0.33540333]
[0.34996509 0.14931703],[0.75001721 0.1805668 ],[0.66392187 0.33410748]
[0.34996452 0.14802078],[0.75001749 0.17927054],[0.66391959 0.33281162]
[0.34996396 0.14672452],[0.75001777 0.17797429],[0.66391731 0.33151577]
[0.34996339 0.14542827],[0.75001805 0.17667803],[0.66391503 0.33021992]
[0.34996282 0.14413202],[0.75001833 0.17538177],[0.66391275 0.32892407]
[0.34996226 0.14283576],[0.75001861 0.17408551],[0.66391047 0.32762822]
[0.34996169 0.14153951],[0.75001889 0.17278926],[0.66390819 0.32633237]
[0.34996112 0.14024325],[0.75001917 0.171493  ],[0.66390591 0.32503652]
[0.34996056 0.138947  ],[0.75001944 0.17019674],[0.66390363 0.32374066]
[0.34995999 0.13765074],[0.75001972 0.16890048],[0.66390134 0.32244481]
[0.34995942 0.13635449],[0.75002    0.16760423],[0.66389906 0.32114896]
[0.34995886 0.13505824],[0.75002028 0.16630797],[0.66389678 0.31985311]
[0.34995829 0.13376198],[0.75002056 0.16501171],[0.6638945  0.31855726]
[0.34995773 0.13246573],[0.75002084 0.16371545],[0.66389222 0.31726141]
[0.34995716 0.13116947],[0.75002112 0.1624192 ],[0.66388994 0.31596556]
[0.34995659 0.12987322],[0.7500214  0.16112294],[0.66388766 0.3146697 ]
[0.34995603 0.12857697],[0.75002168 0.15982668],[0.66388538 0.31337385]
[0.34995546 0.12728071],[0.75002196 0.15853042],[0.6638831 0.312078 ]
[0.34995489 0.12598446],[0.75002224 0.15723417],[0.66388082 0.31078215]
[0.34995433 0.1246882 ],[0.75002252 0.15593791],[0.66387853 0.3094863 ]
[0.34995376 0.12339195],[0.75002279 0.15464165],[0.66387625 0.30819045]
[0.3499532  0.12209569],[0.75002307 0.15334539],[0.66387397 0.3068946 ]
[0.34995263 0.12079944],[0.75002335 0.15204914],[0.66387169 0.30559875]
[0.34995206 0.11950319],[0.75002363 0.15075288],[0.66386941 0.30430289]
[0.3499515  0.11820693],[0.75002391 0.14945662],[0.66386713 0.30300704]
[0.34995093 0.11691068],[0.75002419 0.14816037],[0.66386485 0.30171119]
[0.34995036 0.11561442],[0.75002447 0.14686411],[0.66386257 0.30041534]
[0.3499498  0.11431817],[0.75002475 0.14556785],[0.66386029 0.29911949]
[0.34994923 0.11302191],[0.75002503 0.14427159],[0.66385801 0.29782364]
[0.34994867 0.11172566],[0.75002531 0.14297534],[0.66385572 0.29652779]
[0.3499481  0.11042941],[0.75002559 0.14167908],[0.66385344 0.29523193]
[0.34994753 0.10913315],[0.75002587 0.14038282],[0.66385116 0.29393608]
[0.34994697 0.1078369 ],[0.75002614 0.13908656],[0.66384888 0.29264023]
[0.3499464  0.10654064],[0.75002642 0.13779031],[0.6638466  0.29134438]
[0.34994583 0.10524439],[0.7500267  0.13649405],[0.66384432 0.29004853]
[0.34994527 0.10394814],[0.75002698 0.13519779],[0.66384204 0.28875268]
[0.3499447  0.10265188],[0.75002726 0.13390153],[0.66383976 0.28745683]
[0.34994414 0.10135563],[0.75002754 0.13260528],[0.66383748 0.28616097]
[0.34994357 0.10005937],[0.75002782 0.13130902],[0.6638352  0.28486512]
[0.349943   0.09876312],[0.7500281  0.13001276],[0.66383291 0.28356927]
[0.34994244 0.09746686],[0.75002838 0.1287165 ],[0.66383063 0.28227342]
[0.34994187 0.09617061],[0.75002866 0.12742025],[0.66382835 0.28097757]
[0.3499413  0.09487436],[0.75002894 0.12612399],[0.66382607 0.27968172]
[0.34994074 0.0935781 ],[0.75002922 0.12482773],[0.66382379 0.27838587]
[0.34994017 0.09228185],[0.75002949 0.12353147],[0.66382151 0.27709001]
[0.3499396  0.09098559],[0.75002977 0.12223522],[0.66381923 0.27579416]
[0.34993904 0.08968934],[0.75003005 0.12093896],[0.66381695 0.27449831]
[0.34993847 0.08839309],[0.75003033 0.1196427 ],[0.66381467 0.27320246]
[0.34993791 0.08709683],[0.75003061 0.11834644],[0.66381239 0.27190661]
[0.34993734 0.08580058],[0.75003089 0.11705019],[0.66381011 0.27061076]
[0.34993677 0.08450432],[0.75003117 0.11575393],[0.66380782 0.26931491]
[0.34993621 0.08320807],[0.75003145 0.11445767],[0.66380554 0.26801906]
[0.34993564 0.08191181],[0.75003173 0.11316141],[0.66380326 0.2667232 ]
[0.34993507 0.08061556],[0.75003201 0.11186516],[0.66380098 0.26542735]
[0.34993451 0.07931931],[0.75003229 0.1105689 ],[0.6637987 0.2641315]
[0.34993394 0.07802305],[0.75003257 0.10927264],[0.66379642 0.26283565]
[0.34993338 0.0767268 ],[0.75003284 0.10797638],[0.66379414 0.2615398 ]
[0.34993281 0.07543054],[0.75003312 0.10668013],[0.66379186 0.26024395]
[0.34993224 0.07413429],[0.7500334  0.10538387],[0.66378958 0.2589481 ]
[0.34993168 0.07283804],[0.75003368 0.10408761],[0.6637873  0.25765224]
[0.34993111 0.07154178],[0.75003396 0.10279136],[0.66378501 0.25635639]
[0.34993054 0.07024553],[0.75003424 0.1014951 ],[0.66378273 0.25506054]
[0.34992998 0.06894927],[0.75003452 0.10019884],[0.66378045 0.25376469]
[0.34992941 0.06765302],[0.7500348  0.09890258],[0.66377817 0.25246884]
[0.34992885 0.06635676],[0.75003508 0.09760633],[0.66377589 0.25117299]
[0.34992828 0.06506051],[0.75003536 0.09631007],[0.66377361 0.24987714]
[0.34992771 0.06376426],[0.75003564 0.09501381],[0.66377133 0.24858128]
[0.34992715 0.062468  ],[0.75003592 0.09371755],[0.66376905 0.24728543]
[0.34992658 0.06117175],[0.75003619 0.0924213 ],[0.66376677 0.24598958]
[0.34992601 0.05987549],[0.75003647 0.09112504],[0.66376449 0.24469373]
[0.34992545 0.05857924],[0.75003675 0.08982878],[0.6637622  0.24339788]
[0.34992488 0.05728299],[0.75003703 0.08853252],[0.66375992 0.24210203]
[0.34992432 0.05598673],[0.75003731 0.08723627],[0.66375764 0.24080618]
[0.34992375 0.05469048],[0.75003759 0.08594001],[0.66375536 0.23951033]
[0.34992318 0.05339422],[0.75003787 0.08464375],[0.66375308 0.23821447]
[0.34992262 0.05209797],[0.75003815 0.08334749],[0.6637508  0.23691862]
[0.34992205 0.05080171],[0.75003843 0.08205124],[0.66374852 0.23562277]
[0.34992148 0.04950546],[0.75003871 0.08075498],[0.66374624 0.23432692]
[0.34992092 0.04820921],[0.75003899 0.07945872],[0.66374396 0.23303107]
[0.34992035 0.04691295],[0.75003927 0.07816246],[0.66374168 0.23173522]
[0.34991978 0.0456167 ],[0.75003954 0.07686621],[0.66373939 0.23043937]
[0.34991922 0.04432044],[0.75003982 0.07556995],[0.66373711 0.22914351]
[0.34991865 0.04302419],[0.7500401  0.07427369],[0.66373483 0.22784766]
[0.34991809 0.04172794],[0.75004038 0.07297743],[0.66373255 0.22655181]
[0.34991752 0.04043168],[0.75004066 0.07168118],[0.66373027 0.22525596]
[0.34991695 0.03913543],[0.75004094 0.07038492],[0.66372799 0.22396011]
[0.34991639 0.03783917],[0.75004122 0.06908866],[0.66372571 0.22266426]
[0.34991582 0.03654292],[0.7500415 0.0677924],[0.66372343 0.22136841]
[0.34991525 0.03524666],[0.75004178 0.06649615],[0.66372115 0.22007255]
[0.34991469 0.03395041],[0.75004206 0.06519989],[0.66371887 0.2187767 ]
[0.34991412 0.03265416],[0.75004234 0.06390363],[0.66371658 0.21748085]
[0.34991356 0.0313579 ],[0.75004262 0.06260737],[0.6637143 0.216185 ]
[0.34991299 0.03006165],[0.75004289 0.06131112],[0.66371202 0.21488915]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66370974 0.2135933 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66370746 0.21229745]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66370518 0.2110016 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6637029  0.20970574]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66370062 0.20840989]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66369834 0.20711404]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66369606 0.20581819]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66369377 0.20452234]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66369149 0.20322649]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66368921 0.20193064]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66368693 0.20063478]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66368465 0.19933893]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66368237 0.19804308]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66368009 0.19674723]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66367781 0.19545138]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66367553 0.19415553]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66367325 0.19285968]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66367096 0.19156382]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66366868 0.19026797]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6636664  0.18897212]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66366412 0.18767627]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66366184 0.18638042]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66365956 0.18508457]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66365728 0.18378872]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.663655   0.18249287]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66365272 0.18119701]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66365044 0.17990116]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66364815 0.17860531]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66364587 0.17730946]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66364359 0.17601361]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66364131 0.17471776]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66363903 0.17342191]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66363675 0.17212605]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66363447 0.1708302 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66363219 0.16953435]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66362991 0.1682385 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66362763 0.16694265]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66362534 0.1656468 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66362306 0.16435095]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66362078 0.16305509]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6636185  0.16175924]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66361622 0.16046339]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66361394 0.15916754]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66361166 0.15787169]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66360938 0.15657584]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6636071  0.15527999]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66360482 0.15398413]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66360254 0.15268828]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66360025 0.15139243]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66359797 0.15009658]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66359569 0.14880073]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66359341 0.14750488]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66359113 0.14620903]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66358885 0.14491318]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66358657 0.14361732]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66358429 0.14232147]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66358201 0.14102562]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66357973 0.13972977]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66357744 0.13843392]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66357516 0.13713807]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66357288 0.13584222]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6635706  0.13454636]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66356832 0.13325051]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66356604 0.13195466]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66356376 0.13065881]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66356148 0.12936296]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6635592  0.12806711]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66355692 0.12677126]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66355463 0.1254754 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66355235 0.12417955]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66355007 0.1228837 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66354779 0.12158785]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66354551 0.120292  ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66354323 0.11899615]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66354095 0.1177003 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66353867 0.11640445]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66353639 0.11510859]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66353411 0.11381274]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66353182 0.11251689]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66352954 0.11122104]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66352726 0.10992519]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66352498 0.10862934]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6635227  0.10733349]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66352042 0.10603763]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66351814 0.10474178]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66351586 0.10344593]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66351358 0.10215008]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6635113  0.10085423]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66350901 0.09955838]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66350673 0.09826253]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66350445 0.09696667]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66350217 0.09567082]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66349989 0.09437497]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66349761 0.09307912]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66349533 0.09178327]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66349305 0.09048742]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66349077 0.08919157]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66348849 0.08789572]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6634862  0.08659986]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66348392 0.08530401]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66348164 0.08400816]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66347936 0.08271231]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66347708 0.08141646]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.6634748  0.08012061]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66347252 0.07882476]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66347024 0.0775289 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346796 0.07623305]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346568 0.0749372 ]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
[0.34991266 0.02929648],[0.75004306 0.06054595],[0.66346441 0.07421803]
