1.0
 
[-7.49211277e-03 -1.99964265e+01],[ 3.66845449e-03 -1.99964766e+01],[ -0.02985403 -19.9912195 ]
[0.34999207 0.20803449],[0.75000388 0.2392844 ],[0.66403091 0.39280561]
[0.34999172 0.20710279],[0.75000405 0.23835271],[0.66402952 0.39187415]
[0.34999137 0.20615106],[0.75000423 0.23740097],[0.6640281  0.39092267]
[0.349991   0.20517929],[0.75000441 0.2364292 ],[0.66402665 0.38995115]
[0.34999063 0.20418748],[0.75000459 0.23543739],[0.66402518 0.3889596 ]
[0.34999025 0.20317564],[0.75000477 0.23442554],[0.66402367 0.38794802]
[0.34998987 0.20214376],[0.75000496 0.23339366],[0.66402213 0.38691641]
[0.34998947 0.20109184],[0.75000515 0.23234174],[0.66402056 0.38586477]
[0.34998907 0.20001989],[0.75000535 0.23126979],[0.66401896 0.3847931 ]
[0.34998866 0.1989279 ],[0.75000555 0.2301778 ],[0.66401734 0.38370139]
[0.34998825 0.19781588],[0.75000575 0.22906577],[0.66401568 0.38258965]
[0.34998783 0.19668382],[0.75000596 0.22793371],[0.66401399 0.38145789]
[0.34998739 0.19553172],[0.75000617 0.22678161],[0.66401228 0.38030609]
[0.34998696 0.19435959],[0.75000639 0.22560947],[0.66401053 0.37913426]
[0.34998651 0.19316741],[0.7500066  0.22441729],[0.66400875 0.3779424 ]
[0.34998606 0.19195521],[0.75000683 0.22320508],[0.66400695 0.37673051]
[0.3499856  0.19072296],[0.75000705 0.22197284],[0.66400511 0.37549858]
[0.34998513 0.18947068],[0.75000728 0.22072055],[0.66400324 0.37424663]
[0.34998465 0.18819837],[0.75000751 0.21944823],[0.66400135 0.37297464]
[0.34998417 0.18690694],[0.75000775 0.2181568 ],[0.66399942 0.37168355]
[0.34998368 0.18561065],[0.75000799 0.21686051],[0.66399749 0.3703876 ]
[0.3499832  0.18431437],[0.75000823 0.21556422],[0.66399556 0.36909165]
[0.34998271 0.18301808],[0.75000846 0.21426793],[0.66399363 0.3677957 ]
[0.34998223 0.18172179],[0.7500087  0.21297164],[0.6639917  0.36649975]
[0.34998174 0.18042551],[0.75000894 0.21167536],[0.66398976 0.3652038 ]
[0.34998126 0.17912922],[0.75000918 0.21037907],[0.66398783 0.36390785]
[0.34998077 0.17783294],[0.75000941 0.20908278],[0.6639859 0.3626119]
[0.34998029 0.17653665],[0.75000965 0.20778649],[0.66398397 0.36131596]
[0.3499798  0.17524036],[0.75000989 0.2064902 ],[0.66398204 0.36002001]
[0.34997932 0.17394408],[0.75001013 0.20519391],[0.6639801  0.35872406]
[0.34997883 0.17264779],[0.75001036 0.20389762],[0.66397817 0.35742811]
[0.34997835 0.17135151],[0.7500106  0.20260133],[0.66397624 0.35613216]
[0.34997786 0.17005522],[0.75001084 0.20130504],[0.66397431 0.35483621]
[0.34997738 0.16875893],[0.75001107 0.20000875],[0.66397238 0.35354026]
[0.3499769  0.16746265],[0.75001131 0.19871246],[0.66397045 0.35224431]
[0.34997641 0.16616636],[0.75001155 0.19741618],[0.66396851 0.35094836]
[0.34997593 0.16487008],[0.75001179 0.19611989],[0.66396658 0.34965241]
[0.34997544 0.16357379],[0.75001202 0.1948236 ],[0.66396465 0.34835647]
[0.34997496 0.16227751],[0.75001226 0.19352731],[0.66396272 0.34706052]
[0.34997447 0.16098122],[0.7500125  0.19223102],[0.66396079 0.34576457]
[0.34997399 0.15968493],[0.75001274 0.19093473],[0.66395885 0.34446862]
[0.3499735  0.15838865],[0.75001297 0.18963844],[0.66395692 0.34317267]
[0.34997302 0.15709236],[0.75001321 0.18834215],[0.66395499 0.34187672]
[0.34997253 0.15579608],[0.75001345 0.18704586],[0.66395306 0.34058077]
[0.34997205 0.15449979],[0.75001369 0.18574957],[0.66395113 0.33928482]
[0.34997156 0.1532035 ],[0.75001392 0.18445328],[0.6639492  0.33798887]
[0.34997108 0.15190722],[0.75001416 0.183157  ],[0.66394726 0.33669293]
[0.34997059 0.15061093],[0.7500144  0.18186071],[0.66394533 0.33539698]
[0.34997011 0.14931465],[0.75001464 0.18056442],[0.6639434  0.33410103]
[0.34996962 0.14801836],[0.75001487 0.17926813],[0.66394147 0.33280508]
[0.34996914 0.14672208],[0.75001511 0.17797184],[0.66393954 0.33150913]
[0.34996865 0.14542579],[0.75001535 0.17667555],[0.6639376  0.33021318]
[0.34996817 0.1441295 ],[0.75001559 0.17537926],[0.66393567 0.32891723]
[0.34996768 0.14283322],[0.75001582 0.17408297],[0.66393374 0.32762128]
[0.3499672  0.14153693],[0.75001606 0.17278668],[0.66393181 0.32632533]
[0.34996671 0.14024065],[0.7500163  0.17149039],[0.66392988 0.32502938]
[0.34996623 0.13894436],[0.75001653 0.1701941 ],[0.66392795 0.32373344]
[0.34996574 0.13764807],[0.75001677 0.16889782],[0.66392601 0.32243749]
[0.34996526 0.13635179],[0.75001701 0.16760153],[0.66392408 0.32114154]
[0.34996477 0.1350555 ],[0.75001725 0.16630524],[0.66392215 0.31984559]
[0.34996429 0.13375922],[0.75001748 0.16500895],[0.66392022 0.31854964]
[0.3499638  0.13246293],[0.75001772 0.16371266],[0.66391829 0.31725369]
[0.34996332 0.13116665],[0.75001796 0.16241637],[0.66391635 0.31595774]
[0.34996283 0.12987036],[0.7500182  0.16112008],[0.66391442 0.31466179]
[0.34996235 0.12857407],[0.75001843 0.15982379],[0.66391249 0.31336584]
[0.34996186 0.12727779],[0.75001867 0.1585275 ],[0.66391056 0.3120699 ]
[0.34996138 0.1259815 ],[0.75001891 0.15723121],[0.66390863 0.31077395]
[0.34996089 0.12468522],[0.75001915 0.15593492],[0.66390669 0.309478  ]
[0.34996041 0.12338893],[0.75001938 0.15463864],[0.66390476 0.30818205]
[0.34995992 0.12209264],[0.75001962 0.15334235],[0.66390283 0.3068861 ]
[0.34995944 0.12079636],[0.75001986 0.15204606],[0.6639009  0.30559015]
[0.34995895 0.11950007],[0.7500201  0.15074977],[0.66389897 0.3042942 ]
[0.34995847 0.11820379],[0.75002033 0.14945348],[0.66389704 0.30299825]
[0.34995799 0.1169075 ],[0.75002057 0.14815719],[0.6638951 0.3017023]
[0.3499575  0.11561122],[0.75002081 0.1468609 ],[0.66389317 0.30040635]
[0.34995702 0.11431493],[0.75002105 0.14556461],[0.66389124 0.29911041]
[0.34995653 0.11301864],[0.75002128 0.14426832],[0.66388931 0.29781446]
[0.34995605 0.11172236],[0.75002152 0.14297203],[0.66388738 0.29651851]
[0.34995556 0.11042607],[0.75002176 0.14167574],[0.66388544 0.29522256]
[0.34995508 0.10912979],[0.75002199 0.14037946],[0.66388351 0.29392661]
[0.34995459 0.1078335 ],[0.75002223 0.13908317],[0.66388158 0.29263066]
[0.34995411 0.10653721],[0.75002247 0.13778688],[0.66387965 0.29133471]
[0.34995362 0.10524093],[0.75002271 0.13649059],[0.66387772 0.29003876]
[0.34995314 0.10394464],[0.75002294 0.1351943 ],[0.66387579 0.28874281]
[0.34995265 0.10264836],[0.75002318 0.13389801],[0.66387385 0.28744687]
[0.34995217 0.10135207],[0.75002342 0.13260172],[0.66387192 0.28615092]
[0.34995168 0.10005579],[0.75002366 0.13130543],[0.66386999 0.28485497]
[0.3499512 0.0987595],[0.75002389 0.13000914],[0.66386806 0.28355902]
[0.34995071 0.09746321],[0.75002413 0.12871285],[0.66386613 0.28226307]
[0.34995023 0.09616693],[0.75002437 0.12741656],[0.66386419 0.28096712]
[0.34994974 0.09487064],[0.75002461 0.12612028],[0.66386226 0.27967117]
[0.34994926 0.09357436],[0.75002484 0.12482399],[0.66386033 0.27837522]
[0.34994877 0.09227807],[0.75002508 0.1235277 ],[0.6638584  0.27707927]
[0.34994829 0.09098178],[0.75002532 0.12223141],[0.66385647 0.27578332]
[0.3499478 0.0896855],[0.75002556 0.12093512],[0.66385454 0.27448738]
[0.34994732 0.08838921],[0.75002579 0.11963883],[0.6638526  0.27319143]
[0.34994683 0.08709293],[0.75002603 0.11834254],[0.66385067 0.27189548]
[0.34994635 0.08579664],[0.75002627 0.11704625],[0.66384874 0.27059953]
[0.34994586 0.08450036],[0.75002651 0.11574996],[0.66384681 0.26930358]
[0.34994538 0.08320407],[0.75002674 0.11445367],[0.66384488 0.26800763]
[0.34994489 0.08190778],[0.75002698 0.11315738],[0.66384294 0.26671168]
[0.34994441 0.0806115 ],[0.75002722 0.1118611 ],[0.66384101 0.26541573]
[0.34994392 0.07931521],[0.75002745 0.11056481],[0.66383908 0.26411978]
[0.34994344 0.07801893],[0.75002769 0.10926852],[0.66383715 0.26282384]
[0.34994295 0.07672264],[0.75002793 0.10797223],[0.66383522 0.26152789]
[0.34994247 0.07542635],[0.75002817 0.10667594],[0.66383329 0.26023194]
[0.34994198 0.07413007],[0.7500284  0.10537965],[0.66383135 0.25893599]
[0.3499415  0.07283378],[0.75002864 0.10408336],[0.66382942 0.25764004]
[0.34994101 0.0715375 ],[0.75002888 0.10278707],[0.66382749 0.25634409]
[0.34994053 0.07024121],[0.75002912 0.10149078],[0.66382556 0.25504814]
[0.34994005 0.06894493],[0.75002935 0.10019449],[0.66382363 0.25375219]
[0.34993956 0.06764864],[0.75002959 0.09889821],[0.66382169 0.25245624]
[0.34993908 0.06635235],[0.75002983 0.09760192],[0.66381976 0.25116029]
[0.34993859 0.06505607],[0.75003007 0.09630563],[0.66381783 0.24986435]
[0.34993811 0.06375978],[0.7500303  0.09500934],[0.6638159 0.2485684]
[0.34993762 0.0624635 ],[0.75003054 0.09371305],[0.66381397 0.24727245]
[0.34993714 0.06116721],[0.75003078 0.09241676],[0.66381204 0.2459765 ]
[0.34993665 0.05987092],[0.75003102 0.09112047],[0.6638101  0.24468055]
[0.34993617 0.05857464],[0.75003125 0.08982418],[0.66380817 0.2433846 ]
[0.34993568 0.05727835],[0.75003149 0.08852789],[0.66380624 0.24208865]
[0.3499352  0.05598207],[0.75003173 0.0872316 ],[0.66380431 0.2407927 ]
[0.34993471 0.05468578],[0.75003197 0.08593531],[0.66380238 0.23949675]
[0.34993423 0.0533895 ],[0.7500322  0.08463903],[0.66380044 0.23820081]
[0.34993374 0.05209321],[0.75003244 0.08334274],[0.66379851 0.23690486]
[0.34993326 0.05079692],[0.75003268 0.08204645],[0.66379658 0.23560891]
[0.34993277 0.04950064],[0.75003291 0.08075016],[0.66379465 0.23431296]
[0.34993229 0.04820435],[0.75003315 0.07945387],[0.66379272 0.23301701]
[0.3499318  0.04690807],[0.75003339 0.07815758],[0.66379079 0.23172106]
[0.34993132 0.04561178],[0.75003363 0.07686129],[0.66378885 0.23042511]
[0.34993083 0.04431549],[0.75003386 0.075565  ],[0.66378692 0.22912916]
[0.34993035 0.04301921],[0.7500341  0.07426871],[0.66378499 0.22783321]
[0.34992986 0.04172292],[0.75003434 0.07297242],[0.66378306 0.22653726]
[0.34992938 0.04042664],[0.75003458 0.07167613],[0.66378113 0.22524132]
[0.34992889 0.03913035],[0.75003481 0.07037985],[0.66377919 0.22394537]
[0.34992841 0.03783407],[0.75003505 0.06908356],[0.66377726 0.22264942]
[0.34992792 0.03653778],[0.75003529 0.06778727],[0.66377533 0.22135347]
[0.34992744 0.03524149],[0.75003553 0.06649098],[0.6637734  0.22005752]
[0.34992695 0.03394521],[0.75003576 0.06519469],[0.66377147 0.21876157]
[0.34992647 0.03264892],[0.750036  0.0638984],[0.66376954 0.21746562]
[0.34992598 0.03135264],[0.75003624 0.06260211],[0.6637676  0.21616967]
[0.3499255  0.03005635],[0.75003648 0.06130582],[0.66376567 0.21487372]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66376374 0.21357777]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66376181 0.21228183]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66375988 0.21098588]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66375794 0.20968993]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66375601 0.20839398]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66375408 0.20709803]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66375215 0.20580208]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66375022 0.20450613]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66374829 0.20321018]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66374635 0.20191423]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66374442 0.20061829]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66374249 0.19932234]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66374056 0.19802639]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66373863 0.19673044]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66373669 0.19543449]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66373476 0.19413854]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66373283 0.19284259]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6637309  0.19154664]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66372897 0.19025069]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66372704 0.18895474]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6637251 0.1876588]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66372317 0.18636285]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66372124 0.1850669 ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66371931 0.18377095]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66371738 0.182475  ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66371544 0.18117905]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66371351 0.1798831 ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66371158 0.17858715]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66370965 0.1772912 ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66370772 0.17599526]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66370579 0.17469931]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66370385 0.17340336]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66370192 0.17210741]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66369999 0.17081146]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66369806 0.16951551]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66369613 0.16821956]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66369419 0.16692361]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66369226 0.16562766]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66369033 0.16433171]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6636884  0.16303577]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66368647 0.16173982]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66368454 0.16044387]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6636826  0.15914792]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66368067 0.15785197]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66367874 0.15655602]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66367681 0.15526007]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66367488 0.15396412]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66367294 0.15266817]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66367101 0.15137223]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66366908 0.15007628]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66366715 0.14878033]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66366522 0.14748438]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66366329 0.14618843]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66366135 0.14489248]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66365942 0.14359653]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66365749 0.14230058]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66365556 0.14100463]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66365363 0.13970868]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66365169 0.13841274]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66364976 0.13711679]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66364783 0.13582084]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6636459  0.13452489]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66364397 0.13322894]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66364204 0.13193299]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6636401  0.13063704]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66363817 0.12934109]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66363624 0.12804514]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66363431 0.1267492 ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66363238 0.12545325]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66363044 0.1241573 ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66362851 0.12286135]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66362658 0.1215654 ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66362465 0.12026945]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66362272 0.1189735 ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66362079 0.11767755]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66361885 0.1163816 ]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66361692 0.11508565]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66361499 0.11378971]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66361306 0.11249376]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66361113 0.11119781]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66360919 0.10990186]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66360726 0.10860591]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66360533 0.10730996]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6636034  0.10601401]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66360147 0.10471806]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66359954 0.10342211]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6635976  0.10212617]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66359567 0.10083022]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66359374 0.09953427]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66359181 0.09823832]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66358988 0.09694237]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66358794 0.09564642]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66358601 0.09435047]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66358408 0.09305452]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66358215 0.09175857]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66358022 0.09046262]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66357829 0.08916668]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66357635 0.08787073]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66357442 0.08657478]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66357249 0.08527883]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66357056 0.08398288]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66356863 0.08268693]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66356669 0.08139098]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66356476 0.08009503]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66356283 0.07879908]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.6635609  0.07750314]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66355897 0.07620719]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.66355704 0.07491124]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
[0.34992521 0.02929619],[0.75003662 0.06054566],[0.663556   0.07421659]
