1.0
 
[-9.12466475e-03 -1.99955236e+01],[ 4.50616031e-03 -1.99955739e+01],[ -0.03685552 -19.9889949 ]
[0.34999034 0.20803544],[0.75000477 0.23928536],[0.66402349 0.39280797]
[0.34998992 0.20710379],[0.75000498 0.2383537 ],[0.66402177 0.39187661]
[0.34998948 0.2061521 ],[0.75000519 0.23740201],[0.66402002 0.39092523]
[0.34998904 0.20518037],[0.75000541 0.23643028],[0.66401823 0.38995383]
[0.34998859 0.20418861],[0.75000564 0.23543852],[0.66401641 0.38896239]
[0.34998813 0.20317682],[0.75000586 0.23442672],[0.66401454 0.38795092]
[0.34998766 0.20214498],[0.7500061  0.23339489],[0.66401264 0.38691942]
[0.34998718 0.20109312],[0.75000633 0.23234301],[0.66401071 0.3858679 ]
[0.34998669 0.20002121],[0.75000657 0.23127111],[0.66400874 0.38479634]
[0.34998619 0.19892927],[0.75000682 0.23017917],[0.66400673 0.38370476]
[0.34998568 0.1978173 ],[0.75000707 0.22906719],[0.66400468 0.38259315]
[0.34998517 0.19668529],[0.75000732 0.22793518],[0.6640026  0.38146151]
[0.34998464 0.19553324],[0.75000758 0.22678313],[0.66400048 0.38030984]
[0.34998411 0.19436116],[0.75000785 0.22561104],[0.66399832 0.37913814]
[0.34998357 0.19316904],[0.75000812 0.22441892],[0.66399612 0.37794641]
[0.34998301 0.19195689],[0.75000839 0.22320677],[0.66399389 0.37673465]
[0.34998245 0.1907247 ],[0.75000867 0.22197458],[0.66399163 0.37550287]
[0.34998188 0.18947248],[0.75000895 0.22072235],[0.66398932 0.37425105]
[0.3499813  0.18820022],[0.75000923 0.21945009],[0.66398698 0.37297921]
[0.34998071 0.18690884],[0.75000952 0.21815871],[0.6639846  0.37168825]
[0.34998012 0.1856126 ],[0.75000982 0.21686246],[0.66398222 0.37039243]
[0.34997953 0.18431635],[0.75001011 0.21556621],[0.66397983 0.36909661]
[0.34997894 0.18302011],[0.7500104  0.21426996],[0.66397745 0.36780078]
[0.34997835 0.18172386],[0.75001069 0.21297371],[0.66397506 0.36650496]
[0.34997776 0.18042762],[0.75001098 0.21167747],[0.66397267 0.36520914]
[0.34997717 0.17913137],[0.75001127 0.21038122],[0.66397029 0.36391332]
[0.34997658 0.17783513],[0.75001157 0.20908497],[0.6639679 0.3626175]
[0.34997599 0.17653889],[0.75001186 0.20778872],[0.66396552 0.36132167]
[0.3499754  0.17524264],[0.75001215 0.20649247],[0.66396313 0.36002585]
[0.34997481 0.1739464 ],[0.75001244 0.20519623],[0.66396075 0.35873003]
[0.34997421 0.17265015],[0.75001273 0.20389998],[0.66395836 0.35743421]
[0.34997362 0.17135391],[0.75001302 0.20260373],[0.66395597 0.35613839]
[0.34997303 0.17005766],[0.75001332 0.20130748],[0.66395359 0.35484256]
[0.34997244 0.16876142],[0.75001361 0.20001124],[0.6639512  0.35354674]
[0.34997185 0.16746517],[0.7500139  0.19871499],[0.66394882 0.35225092]
[0.34997126 0.16616893],[0.75001419 0.19741874],[0.66394643 0.3509551 ]
[0.34997067 0.16487268],[0.75001448 0.19612249],[0.66394405 0.34965927]
[0.34997008 0.16357644],[0.75001478 0.19482624],[0.66394166 0.34836345]
[0.34996949 0.16228019],[0.75001507 0.19353   ],[0.66393927 0.34706763]
[0.3499689  0.16098395],[0.75001536 0.19223375],[0.66393689 0.34577181]
[0.34996831 0.1596877 ],[0.75001565 0.1909375 ],[0.6639345  0.34447599]
[0.34996772 0.15839146],[0.75001594 0.18964125],[0.66393212 0.34318016]
[0.34996713 0.15709522],[0.75001623 0.188345  ],[0.66392973 0.34188434]
[0.34996654 0.15579897],[0.75001653 0.18704876],[0.66392734 0.34058852]
[0.34996594 0.15450273],[0.75001682 0.18575251],[0.66392496 0.3392927 ]
[0.34996535 0.15320648],[0.75001711 0.18445626],[0.66392257 0.33799688]
[0.34996476 0.15191024],[0.7500174  0.18316001],[0.66392019 0.33670105]
[0.34996417 0.15061399],[0.75001769 0.18186376],[0.6639178  0.33540523]
[0.34996358 0.14931775],[0.75001798 0.18056752],[0.66391542 0.33410941]
[0.34996299 0.1480215 ],[0.75001828 0.17927127],[0.66391303 0.33281359]
[0.3499624  0.14672526],[0.75001857 0.17797502],[0.66391064 0.33151777]
[0.34996181 0.14542901],[0.75001886 0.17667877],[0.66390826 0.33022194]
[0.34996122 0.14413277],[0.75001915 0.17538252],[0.66390587 0.32892612]
[0.34996063 0.14283652],[0.75001944 0.17408628],[0.66390349 0.3276303 ]
[0.34996004 0.14154028],[0.75001973 0.17279003],[0.6639011  0.32633448]
[0.34995945 0.14024403],[0.75002003 0.17149378],[0.66389872 0.32503865]
[0.34995886 0.13894779],[0.75002032 0.17019753],[0.66389633 0.32374283]
[0.34995827 0.13765155],[0.75002061 0.16890128],[0.66389394 0.32244701]
[0.34995767 0.1363553 ],[0.7500209  0.16760504],[0.66389156 0.32115119]
[0.34995708 0.13505906],[0.75002119 0.16630879],[0.66388917 0.31985537]
[0.34995649 0.13376281],[0.75002148 0.16501254],[0.66388679 0.31855954]
[0.3499559  0.13246657],[0.75002178 0.16371629],[0.6638844  0.31726372]
[0.34995531 0.13117032],[0.75002207 0.16242005],[0.66388202 0.3159679 ]
[0.34995472 0.12987408],[0.75002236 0.1611238 ],[0.66387963 0.31467208]
[0.34995413 0.12857783],[0.75002265 0.15982755],[0.66387724 0.31337626]
[0.34995354 0.12728159],[0.75002294 0.1585313 ],[0.66387486 0.31208043]
[0.34995295 0.12598534],[0.75002323 0.15723505],[0.66387247 0.31078461]
[0.34995236 0.1246891 ],[0.75002353 0.15593881],[0.66387009 0.30948879]
[0.34995177 0.12339285],[0.75002382 0.15464256],[0.6638677  0.30819297]
[0.34995118 0.12209661],[0.75002411 0.15334631],[0.66386532 0.30689715]
[0.34995059 0.12080036],[0.7500244  0.15205006],[0.66386293 0.30560132]
[0.34995    0.11950412],[0.75002469 0.15075381],[0.66386054 0.3043055 ]
[0.34994941 0.11820788],[0.75002498 0.14945757],[0.66385816 0.30300968]
[0.34994881 0.11691163],[0.75002528 0.14816132],[0.66385577 0.30171386]
[0.34994822 0.11561539],[0.75002557 0.14686507],[0.66385339 0.30041804]
[0.34994763 0.11431914],[0.75002586 0.14556882],[0.663851   0.29912221]
[0.34994704 0.1130229 ],[0.75002615 0.14427257],[0.66384862 0.29782639]
[0.34994645 0.11172665],[0.75002644 0.14297633],[0.66384623 0.29653057]
[0.34994586 0.11043041],[0.75002673 0.14168008],[0.66384384 0.29523475]
[0.34994527 0.10913416],[0.75002703 0.14038383],[0.66384146 0.29393892]
[0.34994468 0.10783792],[0.75002732 0.13908758],[0.66383907 0.2926431 ]
[0.34994409 0.10654167],[0.75002761 0.13779133],[0.66383669 0.29134728]
[0.3499435  0.10524543],[0.7500279  0.13649509],[0.6638343  0.29005146]
[0.34994291 0.10394918],[0.75002819 0.13519884],[0.66383192 0.28875564]
[0.34994232 0.10265294],[0.75002849 0.13390259],[0.66382953 0.28745981]
[0.34994173 0.10135669],[0.75002878 0.13260634],[0.66382714 0.28616399]
[0.34994114 0.10006045],[0.75002907 0.13131009],[0.66382476 0.28486817]
[0.34994054 0.09876421],[0.75002936 0.13001385],[0.66382237 0.28357235]
[0.34993995 0.09746796],[0.75002965 0.1287176 ],[0.66381999 0.28227653]
[0.34993936 0.09617172],[0.75002994 0.12742135],[0.6638176 0.2809807]
[0.34993877 0.09487547],[0.75003024 0.1261251 ],[0.66381522 0.27968488]
[0.34993818 0.09357923],[0.75003053 0.12482885],[0.66381283 0.27838906]
[0.34993759 0.09228298],[0.75003082 0.12353261],[0.66381044 0.27709324]
[0.349937   0.09098674],[0.75003111 0.12223636],[0.66380806 0.27579742]
[0.34993641 0.08969049],[0.7500314  0.12094011],[0.66380567 0.27450159]
[0.34993582 0.08839425],[0.75003169 0.11964386],[0.66380329 0.27320577]
[0.34993523 0.087098  ],[0.75003199 0.11834762],[0.6638009  0.27190995]
[0.34993464 0.08580176],[0.75003228 0.11705137],[0.66379852 0.27061413]
[0.34993405 0.08450551],[0.75003257 0.11575512],[0.66379613 0.2693183 ]
[0.34993346 0.08320927],[0.75003286 0.11445887],[0.66379374 0.26802248]
[0.34993287 0.08191302],[0.75003315 0.11316262],[0.66379136 0.26672666]
[0.34993227 0.08061678],[0.75003344 0.11186638],[0.66378897 0.26543084]
[0.34993168 0.07932054],[0.75003374 0.11057013],[0.66378659 0.26413502]
[0.34993109 0.07802429],[0.75003403 0.10927388],[0.6637842  0.26283919]
[0.3499305  0.07672805],[0.75003432 0.10797763],[0.66378182 0.26154337]
[0.34992991 0.0754318 ],[0.75003461 0.10668138],[0.66377943 0.26024755]
[0.34992932 0.07413556],[0.7500349  0.10538514],[0.66377704 0.25895173]
[0.34992873 0.07283931],[0.75003519 0.10408889],[0.66377466 0.25765591]
[0.34992814 0.07154307],[0.75003549 0.10279264],[0.66377227 0.25636008]
[0.34992755 0.07024682],[0.75003578 0.10149639],[0.66376989 0.25506426]
[0.34992696 0.06895058],[0.75003607 0.10020014],[0.6637675  0.25376844]
[0.34992637 0.06765433],[0.75003636 0.0989039 ],[0.66376512 0.25247262]
[0.34992578 0.06635809],[0.75003665 0.09760765],[0.66376273 0.2511768 ]
[0.34992519 0.06506184],[0.75003694 0.0963114 ],[0.66376034 0.24988097]
[0.3499246 0.0637656],[0.75003724 0.09501515],[0.66375796 0.24858515]
[0.349924   0.06246935],[0.75003753 0.0937189 ],[0.66375557 0.24728933]
[0.34992341 0.06117311],[0.75003782 0.09242266],[0.66375319 0.24599351]
[0.34992282 0.05987686],[0.75003811 0.09112641],[0.6637508  0.24469768]
[0.34992223 0.05858062],[0.7500384  0.08983016],[0.66374842 0.24340186]
[0.34992164 0.05728438],[0.75003869 0.08853391],[0.66374603 0.24210604]
[0.34992105 0.05598813],[0.75003899 0.08723766],[0.66374364 0.24081022]
[0.34992046 0.05469189],[0.75003928 0.08594142],[0.66374126 0.2395144 ]
[0.34991987 0.05339564],[0.75003957 0.08464517],[0.66373887 0.23821857]
[0.34991928 0.0520994 ],[0.75003986 0.08334892],[0.66373649 0.23692275]
[0.34991869 0.05080315],[0.75004015 0.08205267],[0.6637341  0.23562693]
[0.3499181  0.04950691],[0.75004044 0.08075643],[0.66373171 0.23433111]
[0.34991751 0.04821066],[0.75004074 0.07946018],[0.66372933 0.23303529]
[0.34991692 0.04691442],[0.75004103 0.07816393],[0.66372694 0.23173946]
[0.34991633 0.04561817],[0.75004132 0.07686768],[0.66372456 0.23044364]
[0.34991573 0.04432193],[0.75004161 0.07557143],[0.66372217 0.22914782]
[0.34991514 0.04302568],[0.7500419  0.07427519],[0.66371979 0.227852  ]
[0.34991455 0.04172944],[0.7500422  0.07297894],[0.6637174  0.22655618]
[0.34991396 0.04043319],[0.75004249 0.07168269],[0.66371501 0.22526035]
[0.34991337 0.03913695],[0.75004278 0.07038644],[0.66371263 0.22396453]
[0.34991278 0.03784071],[0.75004307 0.06909019],[0.66371024 0.22266871]
[0.34991219 0.03654446],[0.75004336 0.06779395],[0.66370786 0.22137289]
[0.3499116  0.03524822],[0.75004365 0.0664977 ],[0.66370547 0.22007707]
[0.34991101 0.03395197],[0.75004395 0.06520145],[0.66370309 0.21878124]
[0.34991042 0.03265573],[0.75004424 0.0639052 ],[0.6637007  0.21748542]
[0.34990983 0.03135948],[0.75004453 0.06260895],[0.66369831 0.2161896 ]
[0.34990924 0.03006324],[0.75004482 0.06131271],[0.66369593 0.21489378]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66369354 0.21359795]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66369116 0.21230213]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66368877 0.21100631]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66368639 0.20971049]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.663684   0.20841467]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66368161 0.20711884]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66367923 0.20582302]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66367684 0.2045272 ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66367446 0.20323138]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66367207 0.20193556]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66366969 0.20063973]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6636673  0.19934391]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66366491 0.19804809]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66366253 0.19675227]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66366014 0.19545645]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66365776 0.19416062]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66365537 0.1928648 ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66365299 0.19156898]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6636506  0.19027316]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66364821 0.18897733]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66364583 0.18768151]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66364344 0.18638569]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66364106 0.18508987]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66363867 0.18379405]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66363629 0.18249822]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6636339 0.1812024]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66363151 0.17990658]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66362913 0.17861076]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66362674 0.17731494]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66362436 0.17601911]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66362197 0.17472329]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66361959 0.17342747]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6636172  0.17213165]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66361481 0.17083583]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66361243 0.16954   ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66361004 0.16824418]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66360766 0.16694836]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66360527 0.16565254]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66360289 0.16435672]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6636005  0.16306089]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66359811 0.16176507]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66359573 0.16046925]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66359334 0.15917343]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66359096 0.1578776 ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66358857 0.15658178]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66358619 0.15528596]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6635838  0.15399014]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66358141 0.15269432]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66357903 0.15139849]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66357664 0.15010267]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66357426 0.14880685]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66357187 0.14751103]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66356949 0.14621521]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6635671  0.14491938]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66356471 0.14362356]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66356233 0.14232774]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66355994 0.14103192]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66355756 0.1397361 ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66355517 0.13844027]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66355279 0.13714445]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6635504  0.13584863]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66354801 0.13455281]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66354563 0.13325698]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66354324 0.13196116]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66354086 0.13066534]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66353847 0.12936952]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66353608 0.1280737 ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6635337  0.12677787]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66353131 0.12548205]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66352893 0.12418623]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66352654 0.12289041]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66352416 0.12159459]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66352177 0.12029876]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66351938 0.11900294]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.663517   0.11770712]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66351461 0.1164113 ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66351223 0.11511548]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66350984 0.11381965]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66350746 0.11252383]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66350507 0.11122801]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66350268 0.10993219]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6635003  0.10863636]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66349791 0.10734054]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66349553 0.10604472]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66349314 0.1047489 ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66349076 0.10345308]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66348837 0.10215725]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66348598 0.10086143]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6634836  0.09956561]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66348121 0.09826979]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66347883 0.09697397]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66347644 0.09567814]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66347406 0.09438232]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66347167 0.0930865 ]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66346928 0.09179068]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6634669  0.09049486]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66346451 0.08919903]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66346213 0.08790321]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66345974 0.08660739]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66345736 0.08531157]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66345497 0.08401575]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66345258 0.08271992]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.6634502 0.0814241]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66344781 0.08012828]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66344543 0.07883246]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66344304 0.07753663]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66344066 0.07624081]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343827 0.07494499]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
[0.34990889 0.02929377],[0.75004499 0.06054324],[0.66343693 0.07421726]
