0.5826550340819835,0.7129105525913457,1.0
[0.34922345 0.22856467],[0.74919424 0.25965459],[0.66322265 0.41315865]
[0.34919005 0.22853593],[0.74915959 0.25961897],[0.66318653 0.41312253]
[0.34915595 0.22850658],[0.74912422 0.25958259],[0.66314966 0.41308564]
[0.34912115 0.22847663],[0.74908811 0.25954547],[0.66311202 0.413048  ]
[0.34908565 0.22844608],[0.74905127 0.25950759],[0.66307362 0.41300959]
[0.34904944 0.22841492],[0.7490137  0.25946897],[0.66303447 0.41297043]
[0.34901253 0.22838316],[0.74897541 0.25942959],[0.66299455 0.4129305 ]
[0.34897492 0.22835079],[0.74893638 0.25938947],[0.66295387 0.41288981]
[0.34893661 0.22831782],[0.74889663 0.25934859],[0.66291243 0.41284837]
[0.34889759 0.22828424],[0.74885614 0.25930697],[0.66287024 0.41280616]
[0.34885787 0.22825006],[0.74881493 0.2592646 ],[0.66282728 0.4127632 ]
[0.34881744 0.22821528],[0.74877299 0.25922147],[0.66278356 0.41271947]
[0.34877632 0.22817989],[0.74873032 0.2591776 ],[0.66273908 0.41267498]
[0.34873449 0.22814389],[0.74868692 0.25913298],[0.66269385 0.41262974]
[0.34869195 0.2281073 ],[0.74864279 0.25908761],[0.66264785 0.41258373]
[0.34864872 0.22807009],[0.74859793 0.25904149],[0.66260109 0.41253696]
[0.34860478 0.22803229],[0.74855234 0.25899462],[0.66255357 0.41248944]
[0.34856014 0.22799388],[0.74850602 0.258947  ],[0.6625053  0.41244115]
[0.3485148  0.22795486],[0.74845898 0.25889863],[0.66245626 0.4123921 ]
[0.34846875 0.22791525],[0.7484112  0.25884951],[0.66240646 0.4123423 ]
[0.348422   0.22787502],[0.7483627  0.25879964],[0.6623559  0.41229173]
[0.34837455 0.2278342 ],[0.74831347 0.25874902],[0.66230459 0.4122404 ]
[0.34832639 0.22779277],[0.74826351 0.25869765],[0.66225251 0.41218832]
[0.34827753 0.22775073],[0.74821282 0.25864554],[0.66219967 0.41213547]
[0.34822797 0.2277081 ],[0.7481614  0.25859267],[0.66214607 0.41208186]
[0.34817771 0.22766486],[0.74810925 0.25853906],[0.66209172 0.4120275 ]
[0.34812675 0.22762101],[0.74805637 0.25848469],[0.6620366  0.41197237]
[0.34807508 0.22757656],[0.74800276 0.25842958],[0.66198072 0.41191648]
[0.34802271 0.22753151],[0.74794843 0.25837371],[0.66192409 0.41185984]
[0.34796963 0.22748586],[0.74789336 0.2583171 ],[0.66186669 0.41180243]
[0.34791586 0.2274396 ],[0.74783757 0.25825974],[0.66180853 0.41174427]
[0.34786138 0.22739273],[0.74778105 0.25820163],[0.66174962 0.41168534]
[0.34780619 0.22734527],[0.7477238  0.25814277],[0.66168994 0.41162566]
[0.34775031 0.2272972 ],[0.74766582 0.25808316],[0.66162951 0.41156521]
[0.34769372 0.22724853],[0.74760711 0.2580228 ],[0.66156831 0.41150401]
[0.34763643 0.22719925],[0.74754768 0.2579617 ],[0.66150636 0.41144204]
[0.34757844 0.22714937],[0.74748751 0.25789984],[0.66144364 0.41137932]
[0.34751975 0.22709889],[0.74742662 0.25783724],[0.66138017 0.41131584]
[0.34746035 0.2270478 ],[0.74736499 0.25777388],[0.66131594 0.4112516 ]
[0.34740025 0.22699611],[0.74730264 0.25770978],[0.66125094 0.41118659]
[0.34733945 0.22694382],[0.74723956 0.25764493],[0.66118519 0.41112083]
[0.34727794 0.22689093],[0.74717575 0.25757933],[0.66111868 0.41105431]
[0.34721573 0.22683743],[0.74711122 0.25751298],[0.66105141 0.41098703]
[0.34715282 0.22678333],[0.74704595 0.25744588],[0.66098337 0.41091899]
[0.34708921 0.22672863],[0.74697996 0.25737803],[0.66091458 0.41085019]
[0.3470249  0.22667332],[0.74691323 0.25730944],[0.66084503 0.41078063]
[0.34695988 0.22661741],[0.74684578 0.25724009],[0.66077472 0.41071032]
[0.34689416 0.2265609 ],[0.7467776 0.25717  ],[0.66070365 0.41063924]
[0.34682774 0.22650379],[0.74670869 0.25709916],[0.66063183 0.4105674 ]
[0.34676061 0.22644607],[0.74663906 0.25702757],[0.66055924 0.41049481]
[0.34669278 0.22638775],[0.74656869 0.25695523],[0.66048589 0.41042145]
[0.34662425 0.22632883],[0.7464976  0.25688214],[0.66041178 0.41034734]
[0.34655502 0.22626931],[0.74642578 0.2568083 ],[0.66033692 0.41027247]
[0.34648509 0.22620918],[0.74635323 0.25673372],[0.66026129 0.41019683]
[0.34641445 0.22614845],[0.74627995 0.25665838],[0.66018491 0.41012044]
[0.34634311 0.22608712],[0.74620594 0.2565823 ],[0.66010776 0.41004329]
[0.34627107 0.22602519],[0.74613121 0.25650547],[0.66002986 0.40996538]
[0.34619833 0.22596265],[0.74605574 0.25642789],[0.6599512  0.40988671]
[0.34612488 0.22589952],[0.74597955 0.25634957],[0.65987177 0.40980729]
[0.34605073 0.22583578],[0.74590263 0.25627049],[0.65979159 0.4097271 ]
[0.34597588 0.22577144],[0.74582498 0.25619067],[0.65971065 0.40964615]
[0.34590033 0.2257065 ],[0.74574661 0.2561101 ],[0.65962895 0.40956445]
[0.34582407 0.22564095],[0.7456675  0.25602878],[0.65954649 0.40948199]
[0.34574712 0.22557481],[0.74558767 0.25594671],[0.65946328 0.40939876]
[0.34566946 0.22550806],[0.74550711 0.25586389],[0.6593793  0.40931478]
[0.3455911  0.22544071],[0.74542582 0.25578033],[0.65929456 0.40923004]
[0.34551203 0.22537276],[0.74534381 0.25569602],[0.65920907 0.40914455]
[0.34543227 0.22530421],[0.74526106 0.25561096],[0.65912282 0.40905829]
[0.3453518  0.22523506],[0.74517759 0.25552515],[0.6590358  0.40897127]
[0.34527063 0.2251653 ],[0.74509339 0.25543859],[0.65894803 0.4088835 ]
[0.34518876 0.22509495],[0.74500847 0.25535129],[0.6588595  0.40879497]
[0.34510618 0.22502399],[0.74492281 0.25526324],[0.65877021 0.40870568]
[0.34502291 0.22495243],[0.74483643 0.25517444],[0.65868016 0.40861563]
[0.34493893 0.22488028],[0.74474932 0.25508489],[0.65858936 0.40852482]
[0.34485425 0.22480752],[0.74466148 0.25499459],[0.65849779 0.40843325]
[0.34476887 0.22473416],[0.74457291 0.25490355],[0.65840547 0.40834093]
[0.34468278 0.2246602 ],[0.74448362 0.25481176],[0.65831238 0.40824785]
[0.34459599 0.22458564],[0.74439359 0.25471922],[0.65821854 0.408154  ]
[0.34450851 0.22451047],[0.74430285 0.25462594],[0.65812394 0.4080594 ]
[0.34442032 0.22443471],[0.74421137 0.2545319 ],[0.65802858 0.40796405]
[0.34433142 0.22435835],[0.74411916 0.25443712],[0.65793246 0.40786793]
[0.34424183 0.22428138],[0.74402623 0.2543416 ],[0.65783559 0.40777106]
[0.34415154 0.22420382],[0.74393257 0.25424532],[0.65773795 0.40767343]
[0.34406054 0.22412566],[0.74383819 0.2541483 ],[0.65763956 0.40757503]
[0.34396884 0.22404689],[0.74374307 0.25405053],[0.6575404  0.40747589]
[0.34387644 0.22396753],[0.74364723 0.25395201],[0.65744049 0.40737598]
[0.34378333 0.22388757],[0.74355066 0.25385275],[0.65733982 0.40727532]
[0.34368953 0.223807  ],[0.74345336 0.25375274],[0.6572384  0.40717389]
[0.34359502 0.22372584],[0.74335534 0.25365198],[0.65713621 0.40707171]
[0.34349981 0.22364407],[0.74325659 0.25355047],[0.65703327 0.40696878]
[0.3434039  0.22356171],[0.74315711 0.25344822],[0.65692956 0.40686508]
[0.34330729 0.22347875],[0.74305691 0.25334522],[0.6568251  0.40676063]
[0.34320998 0.22339519],[0.74295597 0.25324147],[0.65671988 0.40665542]
[0.34311197 0.22331103],[0.74285431 0.25313698],[0.6566139  0.40654945]
[0.34301325 0.22322627],[0.74275193 0.25303174],[0.65650717 0.40644272]
[0.34291383 0.22314091],[0.74264881 0.25292575],[0.65639967 0.40633524]
[0.34281371 0.22305495],[0.74254497 0.25281902],[0.65629142 0.406227  ]
[0.34271289 0.22296839],[0.7424404  0.25271154],[0.65618241 0.406118  ]
[0.34261137 0.22288123],[0.74233511 0.25260331],[0.65607264 0.40600824]
[0.34250914 0.22279348],[0.74222909 0.25249434],[0.65596212 0.40589773]
[0.34240622 0.22270512],[0.74212234 0.25238462],[0.65585083 0.40578646]
[0.34230259 0.22261617],[0.74201486 0.25227415],[0.65573879 0.40567443]
[0.34219826 0.22252661],[0.74190666 0.25216294],[0.65562599 0.40556165]
[0.34209323 0.22243646],[0.74179773 0.25205098],[0.65551243 0.4054481 ]
[0.3419875  0.22234572],[0.74168808 0.25193827],[0.65539811 0.40533381]
[0.34188107 0.22225437],[0.74157769 0.25182482],[0.65528304 0.40521875]
[0.34177393 0.22216242],[0.74146659 0.25171062],[0.65516721 0.40510293]
[0.3416661  0.22206988],[0.74135475 0.25159568],[0.65505062 0.40498636]
[0.34155756 0.22197674],[0.74124219 0.25147999],[0.65493327 0.40486904]
[0.34144832 0.221883  ],[0.7411289  0.25136355],[0.65481516 0.40475095]
[0.34133838 0.22178866],[0.74101488 0.25124637],[0.6546963  0.40463211]
[0.34122774 0.22169372],[0.74090014 0.25112844],[0.65457668 0.40451251]
[0.3411164  0.22159819],[0.74078468 0.25100977],[0.6544563  0.40439216]
[0.34100436 0.22150206],[0.74066848 0.25089035],[0.65433516 0.40427105]
[0.34089161 0.22140533],[0.74055156 0.25077018],[0.65421327 0.40414918]
[0.34077817 0.22130801],[0.74043391 0.25064927],[0.65409062 0.40402655]
[0.34066402 0.22121009],[0.74031554 0.25052761],[0.65396721 0.40390317]
[0.34054917 0.22111157],[0.74019644 0.25040521],[0.65384305 0.40377904]
[0.34043363 0.22101245],[0.74007662 0.25028206],[0.65371812 0.40365414]
[0.34031738 0.22091273],[0.73995606 0.25015817],[0.65359244 0.40352849]
[0.34020043 0.22081242],[0.73983479 0.25003353],[0.653466   0.40340208]
[0.34008277 0.22071152],[0.73971278 0.24990814],[0.65333881 0.40327492]
[0.33996442 0.22061001],[0.73959005 0.24978201],[0.65321086 0.403147  ]
[0.33984537 0.22050791],[0.7394666  0.24965514],[0.65308215 0.40301833]
[0.33972561 0.22040521],[0.73934242 0.24952752],[0.65295268 0.40288889]
[0.33960516 0.22030192],[0.73921751 0.24939915],[0.65282245 0.40275871]
[0.339484   0.22019803],[0.73909188 0.24927004],[0.65269147 0.40262776]
[0.33936214 0.22009354],[0.73896552 0.24914018],[0.65255973 0.40249606]
[0.33923959 0.21998846],[0.73883843 0.24900958],[0.65242724 0.40236361]
[0.33911633 0.21988278],[0.73871062 0.24887824],[0.65229399 0.4022304 ]
[0.33899237 0.21977651],[0.73858209 0.24874615],[0.65215998 0.40209643]
[0.33886771 0.21966964],[0.73845282 0.24861331],[0.65202521 0.40196171]
[0.33874235 0.21956217],[0.73832284 0.24847973],[0.65188969 0.40182623]
[0.33861629 0.21945411],[0.73819212 0.24834541],[0.65175341 0.40168999]
[0.33848952 0.21934546],[0.73806069 0.24821034],[0.65161637 0.401553  ]
[0.33836206 0.21923621],[0.73792852 0.24807452],[0.65147858 0.40141526]
[0.3382339  0.21912636],[0.73779563 0.24793797],[0.65134003 0.40127676]
[0.33810504 0.21901592],[0.73766202 0.24780066],[0.65120072 0.4011375 ]
[0.33797547 0.21890488],[0.73752768 0.24766262],[0.65106066 0.40099749]
[0.33784521 0.21879325],[0.73739261 0.24752383],[0.65091984 0.40085672]
[0.33771424 0.21868102],[0.73725682 0.24738429],[0.65077826 0.4007152 ]
[0.33758257 0.2185682 ],[0.73712031 0.24724401],[0.65063593 0.40057292]
[0.33745021 0.21845479],[0.73698307 0.24710299],[0.65049284 0.40042989]
[0.33731714 0.21834078],[0.7368451  0.24696122],[0.65034899 0.4002861 ]
[0.33718337 0.21822617],[0.73670641 0.24681871],[0.65020439 0.40014156]
[0.33704891 0.21811097],[0.736567   0.24667545],[0.65005903 0.39999627]
[0.33691374 0.21799518],[0.73642686 0.24653145],[0.64991292 0.39985021]
[0.33677787 0.2178788 ],[0.73628599 0.24638671],[0.64976605 0.39970341]
[0.3366413  0.21776182],[0.7361444  0.24624122],[0.64961842 0.39955585]
[0.33650404 0.21764424],[0.73600209 0.24609499],[0.64947004 0.39940753]
[0.33636607 0.21752607],[0.73585905 0.24594802],[0.6493209  0.39925846]
[0.3362274  0.21740731],[0.73571529 0.2458003 ],[0.649171   0.39910863]
[0.33608803 0.21728796],[0.7355708  0.24565184],[0.64902035 0.39895805]
[0.33594796 0.21716801],[0.73542559 0.24550264],[0.64886894 0.39880672]
[0.33580719 0.21704747],[0.73527965 0.24535269],[0.64871678 0.39865463]
[0.33566572 0.21692634],[0.73513299 0.245202  ],[0.64856386 0.39850179]
[0.33552355 0.21680461],[0.7349856  0.24505057],[0.64841018 0.39834819]
[0.33538068 0.21668229],[0.73483749 0.24489839],[0.64825575 0.39819384]
[0.33523711 0.21655938],[0.73468865 0.24474547],[0.64810057 0.39803873]
[0.33509285 0.21643588],[0.73453909 0.24459181],[0.64794462 0.39788287]
[0.33494788 0.21631178],[0.73438881 0.2444374 ],[0.64778793 0.39772626]
[0.33480221 0.21618709],[0.7342378  0.24428225],[0.64763047 0.39756889]
[0.33465584 0.21606181],[0.73408607 0.24412636],[0.64747226 0.39741077]
[0.33450877 0.21593594],[0.73393362 0.24396973],[0.6473133 0.3972519]
[0.334361   0.21580948],[0.73378044 0.24381235],[0.64715358 0.39709227]
[0.33421254 0.21568242],[0.73362653 0.24365424],[0.6469931  0.39693189]
[0.33406337 0.21555477],[0.73347191 0.24349538],[0.64683187 0.39677075]
[0.3339135  0.21542653],[0.73331655 0.24333577],[0.64666989 0.39660886]
[0.33376293 0.2152977 ],[0.73316048 0.24317543],[0.64650714 0.39644622]
[0.33361167 0.21516828],[0.73300368 0.24301434],[0.64634365 0.39628282]
[0.3334597  0.21503827],[0.73284616 0.24285251],[0.6461794  0.39611867]
[0.33330704 0.21490766],[0.73268791 0.24268994],[0.64601439 0.39595377]
[0.33315367 0.21477647],[0.73252894 0.24252663],[0.64584863 0.39578811]
[0.33299961 0.21464469],[0.73236925 0.24236257],[0.64568211 0.39562171]
[0.33284484 0.21451231],[0.73220883 0.24219778],[0.64551484 0.39545454]
[0.33268938 0.21437934],[0.73204769 0.24203224],[0.64534681 0.39528663]
[0.33253322 0.21424579],[0.73188583 0.24186596],[0.64517803 0.39511796]
[0.33237635 0.21411164],[0.73172324 0.24169894],[0.64500849 0.39494854]
[0.33221879 0.2139769 ],[0.73155993 0.24153118],[0.6448382  0.39477837]
[0.33206053 0.21384158],[0.7313959  0.24136268],[0.64466715 0.39460744]
[0.33190157 0.21370566],[0.73123114 0.24119343],[0.64449535 0.39443576]
[0.33174191 0.21356916],[0.73106566 0.24102345],[0.6443228  0.39426333]
[0.33158156 0.21343206],[0.73089946 0.24085272],[0.64414949 0.39409015]
[0.3314205  0.21329438],[0.73073253 0.24068125],[0.64397542 0.39391622]
[0.33125874 0.2131561 ],[0.73056489 0.24050904],[0.6438006  0.39374153]
[0.33109629 0.21301724],[0.73039652 0.24033609],[0.64362503 0.39356609]
[0.33093313 0.21287779],[0.73022742 0.2401624 ],[0.6434487 0.3933899]
[0.33076928 0.21273775],[0.7300576  0.23998797],[0.64327162 0.39321295]
[0.33060473 0.21259712],[0.72988707 0.2398128 ],[0.64309378 0.39303526]
[0.33043947 0.21245591],[0.7297158  0.23963689],[0.64291519 0.39285681]
[0.33027352 0.2123141 ],[0.72954382 0.23946024],[0.64273585 0.39267761]
[0.33010687 0.21217171],[0.72937111 0.23928285],[0.64255575 0.39249766]
[0.32993953 0.21202873],[0.72919768 0.23910472],[0.64237489 0.39231695]
[0.32977148 0.21188516],[0.72902353 0.23892584],[0.64219329 0.3921355 ]
[0.32960273 0.211741  ],[0.72884866 0.23874623],[0.64201093 0.39195329]
[0.32943329 0.21159625],[0.72867306 0.23856588],[0.64182781 0.39177033]
[0.32926315 0.21145092],[0.72849674 0.23838479],[0.64164394 0.39158663]
[0.32909231 0.211305  ],[0.7283197  0.23820296],[0.64145932 0.39140216]
[0.32892077 0.2111585 ],[0.72814194 0.23802039],[0.64127394 0.39121695]
[0.32874853 0.2110114 ],[0.72796345 0.23783708],[0.64108781 0.39103099]
[0.32857559 0.21086372],[0.72778425 0.23765303],[0.64090093 0.39084428]
[0.32840195 0.21071546],[0.72760432 0.23746824],[0.64071329 0.39065681]
[0.32822762 0.2105666 ],[0.72742367 0.23728271],[0.6405249 0.3904686]
[0.32805259 0.21041716],[0.72724229 0.23709644],[0.64033576 0.39027963]
[0.32787686 0.21026714],[0.7270602  0.23690944],[0.64014586 0.39008991]
[0.32770043 0.21011653],[0.72687738 0.23672169],[0.63995521 0.38989945]
[0.3275233  0.20996533],[0.72669385 0.23653321],[0.63976381 0.38970823]
[0.32734547 0.20981354],[0.72650959 0.23634399],[0.63957165 0.38951626]
[0.32716695 0.20966118],[0.72632461 0.23615403],[0.63937874 0.38932354]
[0.32698773 0.20950822],[0.72613891 0.23596333],[0.63918508 0.38913007]
[0.32680781 0.20935468],[0.72595248 0.23577189],[0.63899066 0.38893585]
[0.32662719 0.20920056],[0.72576534 0.23557971],[0.63879549 0.38874088]
[0.32644587 0.20904585],[0.72557747 0.2353868 ],[0.63859957 0.38854516]
[0.32626386 0.20889055],[0.72538889 0.23519314],[0.63840289 0.3883487 ]
[0.32608114 0.20873467],[0.72519958 0.23499875],[0.63820547 0.38815148]
[0.32589773 0.20857821],[0.72500955 0.23480362],[0.63800729 0.38795351]
[0.32571363 0.20842116],[0.7248188  0.23460776],[0.63780835 0.38775479]
[0.32552882 0.20826353],[0.72462733 0.23441115],[0.63760867 0.38755532]
[0.32534332 0.20810531],[0.72443513 0.23421381],[0.63740823 0.3873551 ]
[0.32515711 0.20794651],[0.72424222 0.23401573],[0.63720704 0.38715413]
[0.32497021 0.20778713],[0.72404859 0.23381692],[0.63700509 0.38695242]
[0.32478262 0.20762716],[0.72385423 0.23361736],[0.6368024  0.38674995]
[0.32459432 0.20746661],[0.72365916 0.23341707],[0.63659895 0.38654674]
[0.32440533 0.20730548],[0.72346336 0.23321604],[0.63639475 0.38634277]
[0.32421564 0.20714376],[0.72326685 0.23301428],[0.6361898  0.38613806]
[0.32402525 0.20698146],[0.72306961 0.23281177],[0.63598409 0.3859326 ]
[0.32383417 0.20681858],[0.72287165 0.23260854],[0.63577763 0.38572639]
[0.32364238 0.20665512],[0.72267298 0.23240456],[0.63557043 0.38551943]
[0.3234499  0.20649107],[0.72247358 0.23219985],[0.63536246 0.38531172]
[0.32325673 0.20632644],[0.72227346 0.2319944 ],[0.63515375 0.38510326]
[0.32306285 0.20616123],[0.72207262 0.23178821],[0.63494429 0.38489406]
[0.32286828 0.20599544],[0.72187107 0.23158129],[0.63473407 0.38468411]
[0.32267301 0.20582907],[0.72166879 0.23137363],[0.6345231 0.3844734]
[0.32247705 0.20566211],[0.72146579 0.23116524],[0.63431138 0.38426195]
[0.32228038 0.20549457],[0.72126207 0.23095611],[0.63409891 0.38404976]
[0.32208302 0.20532646],[0.72105764 0.23074625],[0.63388569 0.38383681]
[0.32188497 0.20515776],[0.72085248 0.23053564],[0.63367171 0.38362312]
[0.32168621 0.20498848],[0.7206466  0.23032431],[0.63345699 0.38340867]
[0.32148676 0.20481862],[0.72044001 0.23011224],[0.63324151 0.38319349]
[0.32128661 0.20464818],[0.72023269 0.22989943],[0.63302528 0.38297755]
[0.32108577 0.20447716],[0.72002465 0.22968589],[0.6328083  0.38276086]
[0.32088423 0.20430556],[0.7198159  0.22947161],[0.63259057 0.38254343]
[0.32068199 0.20413338],[0.71960643 0.22925659],[0.63237209 0.38232525]
[0.32047905 0.20396062],[0.71939623 0.22904085],[0.63215286 0.38210633]
[0.32027542 0.20378728],[0.71918532 0.22882436],[0.63193287 0.38188665]
[0.32007109 0.20361337],[0.71897369 0.22860715],[0.63171214 0.38166623]
[0.31986607 0.20343887],[0.71876134 0.22838919],[0.63149065 0.38144507]
[0.31966034 0.20326379],[0.71854827 0.22817051],[0.63126842 0.38122315]
[0.31945393 0.20308814],[0.71833448 0.22795109],[0.63104543 0.38100049]
[0.31924681 0.20291191],[0.71811997 0.22773093],[0.63082169 0.38077708]
[0.319039   0.20273509],[0.71790474 0.22751004],[0.6305972  0.38055293]
[0.31883049 0.2025577 ],[0.7176888  0.22728842],[0.63037197 0.38032803]
[0.31862129 0.20237974],[0.71747213 0.22706606],[0.63014598 0.38010238]
[0.31841139 0.20220119],[0.71725475 0.22684297],[0.62991924 0.37987599]
[0.31820079 0.20202207],[0.71703665 0.22661914],[0.62969175 0.37964885]
[0.3179895  0.20184237],[0.71681783 0.22639458],[0.62946351 0.37942096]
[0.31777751 0.20166209],[0.71659829 0.22616929],[0.62923452 0.37919233]
[0.31756483 0.20148124],[0.71637804 0.22594327],[0.62900478 0.37896296]
[0.31735145 0.20129981],[0.71615706 0.22571651],[0.62877429 0.37873283]
[0.31713737 0.2011178 ],[0.71593537 0.22548902],[0.62854304 0.37850196]
[0.3169226  0.20093522],[0.71571296 0.22526079],[0.62831105 0.37827035]
[0.31670713 0.20075206],[0.71548983 0.22503183],[0.62807831 0.37803799]
[0.31649097 0.20056832],[0.71526598 0.22480214],[0.62784482 0.37780489]
[0.31627411 0.20038401],[0.71504142 0.22457172],[0.62761058 0.37757104]
[0.31605655 0.20019912],[0.71481614 0.22434056],[0.62737559 0.37733644]
[0.3158383  0.20001366],[0.71459013 0.22410867],[0.62713986 0.3771011 ]
[0.31561936 0.19982762],[0.71436342 0.22387605],[0.62690337 0.37686502]
[0.31539971 0.19964101],[0.71413598 0.2236427 ],[0.62666613 0.37662819]
[0.31517938 0.19945382],[0.71390783 0.22340862],[0.62642814 0.37639061]
[0.31495834 0.19926606],[0.71367896 0.2231738 ],[0.6261894  0.37615229]
[0.31473662 0.19907772],[0.71344937 0.22293825],[0.62594992 0.37591323]
[0.31451419 0.19888881],[0.71321906 0.22270197],[0.62570968 0.37567342]
[0.31429107 0.19869932],[0.71298804 0.22246496],[0.6254687  0.37543287]
[0.31406726 0.19850926],[0.7127563  0.22222721],[0.62522697 0.37519157]
[0.31384275 0.19831863],[0.71252384 0.22198874],[0.62498448 0.37494953]
[0.31361754 0.19812742],[0.71229067 0.22174953],[0.62474125 0.37470675]
[0.31339164 0.19793564],[0.71205677 0.2215096 ],[0.62449727 0.37446322]
[0.31316505 0.19774329],[0.71182217 0.22126893],[0.62425254 0.37421895]
[0.31293776 0.19755036],[0.71158684 0.22102753],[0.62400707 0.37397393]
[0.31270977 0.19735687],[0.7113508 0.2207854],[0.62376084 0.37372817]
[0.31248109 0.19716279],[0.71111404 0.22054254],[0.62351387 0.37348167]
[0.31225172 0.19696815],[0.71087656 0.22029895],[0.62326614 0.37323443]
[0.31202165 0.19677294],[0.71063837 0.22005463],[0.62301767 0.37298644]
[0.31179088 0.19657715],[0.71039946 0.21980957],[0.62276845 0.37273771]
[0.31155942 0.19638079],[0.71015984 0.21956379],[0.62251848 0.37248823]
[0.31132727 0.19618386],[0.7099195  0.21931728],[0.62226777 0.37223801]
[0.31109442 0.19598636],[0.70967844 0.21907004],[0.6220163  0.37198705]
[0.31086087 0.19578829],[0.70943666 0.21882207],[0.62176409 0.37173535]
[0.31062664 0.19558964],[0.70919417 0.21857336],[0.62151113 0.37148291]
[0.3103917  0.19539043],[0.70895097 0.21832393],[0.62125742 0.37122972]
[0.31015608 0.19519065],[0.70870704 0.21807377],[0.62100297 0.37097579]
[0.30991976 0.19499029],[0.70846241 0.21782288],[0.62074776 0.37072112]
[0.30968274 0.19478937],[0.70821705 0.21757127],[0.62049181 0.3704657 ]
[0.30944503 0.19458788],[0.70797098 0.21731892],[0.62023511 0.37020955]
[0.30920663 0.19438581],[0.7077242  0.21706584],[0.61997767 0.36995265]
[0.30896753 0.19418318],[0.7074767  0.21681204],[0.61971948 0.36969501]
[0.30872774 0.19397998],[0.70722848 0.2165575 ],[0.61946053 0.36943663]
[0.30848725 0.19377621],[0.70697955 0.21630224],[0.61920085 0.36917751]
