1.0
 
[-1.21383641e-02 -1.99938567e+01],[ 6.05273039e-03 -1.99939076e+01],[ -0.0497777  -19.98488866]
[0.34998715 0.20803721],[0.75000641 0.23928713],[0.66400979 0.39281232]
[0.34998658 0.20710563],[0.75000669 0.23835555],[0.66400747 0.39188116]
[0.349986   0.20615402],[0.75000698 0.23740394],[0.6640051  0.39092997]
[0.34998541 0.20518238],[0.75000727 0.23643229],[0.66400269 0.38995876]
[0.34998481 0.2041907 ],[0.75000757 0.23544061],[0.66400022 0.38896753]
[0.3499842  0.20317899],[0.75000788 0.23442889],[0.6639977  0.38795627]
[0.34998357 0.20214724],[0.75000819 0.23339714],[0.66399514 0.38692499]
[0.34998294 0.20109546],[0.75000851 0.23234536],[0.66399252 0.38587368]
[0.34998229 0.20002365],[0.75000883 0.23127354],[0.66398986 0.38480234]
[0.34998162 0.1989318 ],[0.75000916 0.23018169],[0.66398714 0.38371098]
[0.34998095 0.19781992],[0.7500095  0.22906981],[0.66398438 0.3825996 ]
[0.34998026 0.196688  ],[0.75000984 0.22793789],[0.66398156 0.38146819]
[0.34997956 0.19553605],[0.75001019 0.22678594],[0.6639787  0.38031676]
[0.34997885 0.19436407],[0.75001054 0.22561395],[0.66397578 0.3791453 ]
[0.34997813 0.19317205],[0.75001091 0.22442193],[0.66397282 0.37795382]
[0.34997739 0.19196   ],[0.75001127 0.22320987],[0.6639698  0.37674231]
[0.34997665 0.19072791],[0.75001164 0.22197778],[0.66396674 0.37551077]
[0.34997589 0.18947579],[0.75001202 0.22072566],[0.66396363 0.37425922]
[0.34997512 0.18820364],[0.75001241 0.21945351],[0.66396046 0.37298763]
[0.34997433 0.18691236],[0.7500128  0.21816222],[0.66395725 0.37169693]
[0.34997355 0.18561619],[0.75001319 0.21686605],[0.66395403 0.37040134]
[0.34997276 0.18432002],[0.75001358 0.21556988],[0.6639508  0.36910576]
[0.34997198 0.18302386],[0.75001397 0.21427371],[0.66394758 0.36781017]
[0.34997119 0.18172769],[0.75001437 0.21297754],[0.66394436 0.36651458]
[0.3499704  0.18043152],[0.75001476 0.21168136],[0.66394113 0.36521899]
[0.34996962 0.17913535],[0.75001515 0.21038519],[0.66393791 0.3639234 ]
[0.34996883 0.17783918],[0.75001554 0.20908902],[0.66393469 0.36262782]
[0.34996804 0.17654301],[0.75001593 0.20779285],[0.66393146 0.36133223]
[0.34996726 0.17524684],[0.75001633 0.20649668],[0.66392824 0.36003664]
[0.34996647 0.17395067],[0.75001672 0.2052005 ],[0.66392502 0.35874105]
[0.34996569 0.17265451],[0.75001711 0.20390433],[0.66392179 0.35744547]
[0.3499649  0.17135834],[0.7500175  0.20260816],[0.66391857 0.35614988]
[0.34996411 0.17006217],[0.75001789 0.20131199],[0.66391534 0.35485429]
[0.34996333 0.168766  ],[0.75001829 0.20001582],[0.66391212 0.3535587 ]
[0.34996254 0.16746983],[0.75001868 0.19871964],[0.6639089  0.35226311]
[0.34996176 0.16617366],[0.75001907 0.19742347],[0.66390567 0.35096753]
[0.34996097 0.16487749],[0.75001946 0.1961273 ],[0.66390245 0.34967194]
[0.34996018 0.16358133],[0.75001985 0.19483113],[0.66389923 0.34837635]
[0.3499594  0.16228516],[0.75002025 0.19353496],[0.663896   0.34708076]
[0.34995861 0.16098899],[0.75002064 0.19223879],[0.66389278 0.34578517]
[0.34995783 0.15969282],[0.75002103 0.19094261],[0.66388956 0.34448959]
[0.34995704 0.15839665],[0.75002142 0.18964644],[0.66388633 0.343194  ]
[0.34995625 0.15710048],[0.75002181 0.18835027],[0.66388311 0.34189841]
[0.34995547 0.15580431],[0.75002221 0.1870541 ],[0.66387989 0.34060282]
[0.34995468 0.15450815],[0.7500226  0.18575793],[0.66387666 0.33930723]
[0.34995389 0.15321198],[0.75002299 0.18446175],[0.66387344 0.33801165]
[0.34995311 0.15191581],[0.75002338 0.18316558],[0.66387022 0.33671606]
[0.34995232 0.15061964],[0.75002377 0.18186941],[0.66386699 0.33542047]
[0.34995154 0.14932347],[0.75002417 0.18057324],[0.66386377 0.33412488]
[0.34995075 0.1480273 ],[0.75002456 0.17927707],[0.66386054 0.33282929]
[0.34994996 0.14673113],[0.75002495 0.17798089],[0.66385732 0.33153371]
[0.34994918 0.14543496],[0.75002534 0.17668472],[0.6638541  0.33023812]
[0.34994839 0.1441388 ],[0.75002573 0.17538855],[0.66385087 0.32894253]
[0.34994761 0.14284263],[0.75002613 0.17409238],[0.66384765 0.32764694]
[0.34994682 0.14154646],[0.75002652 0.17279621],[0.66384443 0.32635136]
[0.34994603 0.14025029],[0.75002691 0.17150003],[0.6638412  0.32505577]
[0.34994525 0.13895412],[0.7500273  0.17020386],[0.66383798 0.32376018]
[0.34994446 0.13765795],[0.75002769 0.16890769],[0.66383476 0.32246459]
[0.34994368 0.13636178],[0.75002808 0.16761152],[0.66383153 0.321169  ]
[0.34994289 0.13506562],[0.75002848 0.16631535],[0.66382831 0.31987342]
[0.3499421  0.13376945],[0.75002887 0.16501917],[0.66382509 0.31857783]
[0.34994132 0.13247328],[0.75002926 0.163723  ],[0.66382186 0.31728224]
[0.34994053 0.13117711],[0.75002965 0.16242683],[0.66381864 0.31598665]
[0.34993975 0.12988094],[0.75003004 0.16113066],[0.66381542 0.31469106]
[0.34993896 0.12858477],[0.75003044 0.15983449],[0.66381219 0.31339548]
[0.34993817 0.1272886 ],[0.75003083 0.15853831],[0.66380897 0.31209989]
[0.34993739 0.12599244],[0.75003122 0.15724214],[0.66380574 0.3108043 ]
[0.3499366  0.12469627],[0.75003161 0.15594597],[0.66380252 0.30950871]
[0.34993581 0.1234001 ],[0.750032  0.1546498],[0.6637993  0.30821312]
[0.34993503 0.12210393],[0.7500324  0.15335363],[0.66379607 0.30691754]
[0.34993424 0.12080776],[0.75003279 0.15205746],[0.66379285 0.30562195]
[0.34993346 0.11951159],[0.75003318 0.15076128],[0.66378963 0.30432636]
[0.34993267 0.11821542],[0.75003357 0.14946511],[0.6637864  0.30303077]
[0.34993188 0.11691925],[0.75003396 0.14816894],[0.66378318 0.30173519]
[0.3499311  0.11562309],[0.75003436 0.14687277],[0.66377996 0.3004396 ]
[0.34993031 0.11432692],[0.75003475 0.1455766 ],[0.66377673 0.29914401]
[0.34992953 0.11303075],[0.75003514 0.14428042],[0.66377351 0.29784842]
[0.34992874 0.11173458],[0.75003553 0.14298425],[0.66377029 0.29655283]
[0.34992795 0.11043841],[0.75003592 0.14168808],[0.66376706 0.29525725]
[0.34992717 0.10914224],[0.75003632 0.14039191],[0.66376384 0.29396166]
[0.34992638 0.10784607],[0.75003671 0.13909574],[0.66376062 0.29266607]
[0.3499256  0.10654991],[0.7500371  0.13779956],[0.66375739 0.29137048]
[0.34992481 0.10525374],[0.75003749 0.13650339],[0.66375417 0.29007489]
[0.34992402 0.10395757],[0.75003788 0.13520722],[0.66375095 0.28877931]
[0.34992324 0.1026614 ],[0.75003828 0.13391105],[0.66374772 0.28748372]
[0.34992245 0.10136523],[0.75003867 0.13261488],[0.6637445  0.28618813]
[0.34992167 0.10006906],[0.75003906 0.1313187 ],[0.66374127 0.28489254]
[0.34992088 0.09877289],[0.75003945 0.13002253],[0.66373805 0.28359695]
[0.34992009 0.09747673],[0.75003984 0.12872636],[0.66373483 0.28230137]
[0.34991931 0.09618056],[0.75004024 0.12743019],[0.6637316  0.28100578]
[0.34991852 0.09488439],[0.75004063 0.12613402],[0.66372838 0.27971019]
[0.34991773 0.09358822],[0.75004102 0.12483784],[0.66372516 0.2784146 ]
[0.34991695 0.09229205],[0.75004141 0.12354167],[0.66372193 0.27711901]
[0.34991616 0.09099588],[0.7500418 0.1222455],[0.66371871 0.27582343]
[0.34991538 0.08969971],[0.7500422  0.12094933],[0.66371549 0.27452784]
[0.34991459 0.08840354],[0.75004259 0.11965316],[0.66371226 0.27323225]
[0.3499138  0.08710738],[0.75004298 0.11835698],[0.66370904 0.27193666]
[0.34991302 0.08581121],[0.75004337 0.11706081],[0.66370582 0.27064108]
[0.34991223 0.08451504],[0.75004376 0.11576464],[0.66370259 0.26934549]
[0.34991145 0.08321887],[0.75004416 0.11446847],[0.66369937 0.2680499 ]
[0.34991066 0.0819227 ],[0.75004455 0.1131723 ],[0.66369615 0.26675431]
[0.34990987 0.08062653],[0.75004494 0.11187613],[0.66369292 0.26545872]
[0.34990909 0.07933036],[0.75004533 0.11057995],[0.6636897  0.26416314]
[0.3499083 0.0780342],[0.75004572 0.10928378],[0.66368647 0.26286755]
[0.34990752 0.07673803],[0.75004612 0.10798761],[0.66368325 0.26157196]
[0.34990673 0.07544186],[0.75004651 0.10669144],[0.66368003 0.26027637]
[0.34990594 0.07414569],[0.7500469  0.10539527],[0.6636768  0.25898078]
[0.34990516 0.07284952],[0.75004729 0.10409909],[0.66367358 0.2576852 ]
[0.34990437 0.07155335],[0.75004768 0.10280292],[0.66367036 0.25638961]
[0.34990358 0.07025718],[0.75004808 0.10150675],[0.66366713 0.25509402]
[0.3499028  0.06896102],[0.75004847 0.10021058],[0.66366391 0.25379843]
[0.34990201 0.06766485],[0.75004886 0.09891441],[0.66366069 0.25250284]
[0.34990123 0.06636868],[0.75004925 0.09761823],[0.66365746 0.25120726]
[0.34990044 0.06507251],[0.75004964 0.09632206],[0.66365424 0.24991167]
[0.34989965 0.06377634],[0.75005004 0.09502589],[0.66365102 0.24861608]
[0.34989887 0.06248017],[0.75005043 0.09372972],[0.66364779 0.24732049]
[0.34989808 0.061184  ],[0.75005082 0.09243355],[0.66364457 0.24602491]
[0.3498973  0.05988784],[0.75005121 0.09113737],[0.66364135 0.24472932]
[0.34989651 0.05859167],[0.7500516 0.0898412],[0.66363812 0.24343373]
[0.34989572 0.0572955 ],[0.750052   0.08854503],[0.6636349  0.24213814]
[0.34989494 0.05599933],[0.75005239 0.08724886],[0.66363168 0.24084255]
[0.34989415 0.05470316],[0.75005278 0.08595269],[0.66362845 0.23954697]
[0.34989337 0.05340699],[0.75005317 0.08465651],[0.66362523 0.23825138]
[0.34989258 0.05211082],[0.75005356 0.08336034],[0.663622   0.23695579]
[0.34989179 0.05081465],[0.75005396 0.08206417],[0.66361878 0.2356602 ]
[0.34989101 0.04951849],[0.75005435 0.080768  ],[0.66361556 0.23436461]
[0.34989022 0.04822232],[0.75005474 0.07947183],[0.66361233 0.23306903]
[0.34988944 0.04692615],[0.75005513 0.07817566],[0.66360911 0.23177344]
[0.34988865 0.04562998],[0.75005552 0.07687948],[0.66360589 0.23047785]
[0.34988786 0.04433381],[0.75005591 0.07558331],[0.66360266 0.22918226]
[0.34988708 0.04303764],[0.75005631 0.07428714],[0.66359944 0.22788667]
[0.34988629 0.04174147],[0.7500567  0.07299097],[0.66359622 0.22659109]
[0.3498855  0.04044531],[0.75005709 0.0716948 ],[0.66359299 0.2252955 ]
[0.34988472 0.03914914],[0.75005748 0.07039862],[0.66358977 0.22399991]
[0.34988393 0.03785297],[0.75005787 0.06910245],[0.66358655 0.22270432]
[0.34988315 0.0365568 ],[0.75005827 0.06780628],[0.66358332 0.22140873]
[0.34988236 0.03526063],[0.75005866 0.06651011],[0.6635801  0.22011315]
[0.34988157 0.03396446],[0.75005905 0.06521394],[0.66357688 0.21881756]
[0.34988079 0.03266829],[0.75005944 0.06391776],[0.66357365 0.21752197]
[0.34988    0.03137213],[0.75005983 0.06262159],[0.66357043 0.21622638]
[0.34987922 0.03007596],[0.75006023 0.06132542],[0.6635672 0.2149308]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66356398 0.21363521]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66356076 0.21233962]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66355753 0.21104403]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66355431 0.20974844]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66355109 0.20845286]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66354786 0.20715727]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66354464 0.20586168]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66354142 0.20456609]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66353819 0.2032705 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66353497 0.20197492]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66353175 0.20067933]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66352852 0.19938374]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6635253  0.19808815]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66352208 0.19679256]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66351885 0.19549698]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66351563 0.19420139]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66351241 0.1929058 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66350918 0.19161021]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66350596 0.19031462]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66350273 0.18901904]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66349951 0.18772345]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66349629 0.18642786]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66349306 0.18513227]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66348984 0.18383669]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66348662 0.1825411 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66348339 0.18124551]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66348017 0.17994992]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66347695 0.17865433]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66347372 0.17735875]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6634705  0.17606316]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66346728 0.17476757]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66346405 0.17347198]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66346083 0.17217639]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66345761 0.17088081]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66345438 0.16958522]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66345116 0.16828963]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66344793 0.16699404]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66344471 0.16569845]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66344149 0.16440287]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66343826 0.16310728]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66343504 0.16181169]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66343182 0.1605161 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66342859 0.15922052]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66342537 0.15792493]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66342215 0.15662934]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66341892 0.15533375]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6634157  0.15403816]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66341248 0.15274258]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66340925 0.15144699]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66340603 0.1501514 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66340281 0.14885581]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66339958 0.14756022]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66339636 0.14626464]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66339314 0.14496905]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66338991 0.14367346]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66338669 0.14237787]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66338346 0.14108228]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66338024 0.1397867 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66337702 0.13849111]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66337379 0.13719552]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66337057 0.13589993]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66336735 0.13460434]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66336412 0.13330876]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6633609  0.13201317]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66335768 0.13071758]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66335445 0.12942199]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66335123 0.12812641]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66334801 0.12683082]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66334478 0.12553523]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66334156 0.12423964]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66333834 0.12294405]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66333511 0.12164847]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66333189 0.12035288]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66332866 0.11905729]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66332544 0.1177617 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66332222 0.11646611]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66331899 0.11517053]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66331577 0.11387494]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66331255 0.11257935]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66330932 0.11128376]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6633061  0.10998817]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66330288 0.10869259]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66329965 0.107397  ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66329643 0.10610141]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66329321 0.10480582]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66328998 0.10351023]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66328676 0.10221465]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66328354 0.10091906]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66328031 0.09962347]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66327709 0.09832788]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66327386 0.0970323 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66327064 0.09573671]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66326742 0.09444112]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66326419 0.09314553]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66326097 0.09184994]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66325775 0.09055436]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66325452 0.08925877]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632513  0.08796318]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66324808 0.08666759]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66324485 0.085372  ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66324163 0.08407642]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66323841 0.08278083]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66323518 0.08148524]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66323196 0.08018965]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66322874 0.07889406]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66322551 0.07759848]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66322229 0.07630289]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.66321907 0.0750073 ]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
[0.34987874 0.0292959 ],[0.75006046 0.06054536],[0.6632171  0.07421798]
