1.0
 
[-8.37121674e-03 -1.99959403e+01],[ 4.11945306e-03 -1.99959905e+01],[ -0.0336242  -19.99002161]
[0.34999114 0.208035  ],[0.75000436 0.23928492],[0.66402691 0.39280688]
[0.34999075 0.20710333],[0.75000455 0.23835324],[0.66402535 0.39187548]
[0.34999035 0.20615162],[0.75000475 0.23740153],[0.66402375 0.39092405]
[0.34998995 0.20517987],[0.75000495 0.23642978],[0.66402212 0.38995259]
[0.34998953 0.20418809],[0.75000515 0.235438  ],[0.66402045 0.3889611 ]
[0.34998911 0.20317627],[0.75000536 0.23442618],[0.66401875 0.38794958]
[0.34998868 0.20214442],[0.75000557 0.23339432],[0.66401702 0.38691803]
[0.34998824 0.20109253],[0.75000579 0.23234243],[0.66401526 0.38586645]
[0.34998779 0.2000206 ],[0.75000601 0.2312705 ],[0.66401346 0.38479485]
[0.34998733 0.19892864],[0.75000623 0.23017854],[0.66401162 0.38370321]
[0.34998687 0.19781664],[0.75000646 0.22906653],[0.66400976 0.38259154]
[0.34998639 0.19668461],[0.75000669 0.2279345 ],[0.66400786 0.38145984]
[0.34998591 0.19553254],[0.75000693 0.22678242],[0.66400592 0.38030811]
[0.34998542 0.19436043],[0.75000717 0.22561032],[0.66400395 0.37913635]
[0.34998492 0.19316829],[0.75000742 0.22441817],[0.66400195 0.37794456]
[0.34998442 0.19195611],[0.75000767 0.22320599],[0.66399992 0.37673274]
[0.3499839 0.1907239],[0.75000792 0.22197377],[0.66399785 0.37550089]
[0.34998338 0.18947165],[0.75000818 0.22072152],[0.66399575 0.37424901]
[0.34998285 0.18819936],[0.75000844 0.21944923],[0.66399361 0.3729771 ]
[0.34998231 0.18690796],[0.75000871 0.21815783],[0.66399144 0.37168608]
[0.34998177 0.1856117 ],[0.75000897 0.21686156],[0.66398927 0.3703902 ]
[0.34998122 0.18431544],[0.75000924 0.21556529],[0.66398709 0.36909432]
[0.34998068 0.18301917],[0.75000951 0.21426903],[0.66398491 0.36779844]
[0.34998014 0.18172291],[0.75000977 0.21297276],[0.66398274 0.36650256]
[0.3499796  0.18042664],[0.75001004 0.21167649],[0.66398056 0.36520668]
[0.34997906 0.17913038],[0.75001031 0.21038023],[0.66397838 0.3639108 ]
[0.34997851 0.17783412],[0.75001057 0.20908396],[0.66397621 0.36261492]
[0.34997797 0.17653785],[0.75001084 0.20778769],[0.66397403 0.36131903]
[0.34997743 0.17524159],[0.75001111 0.20649142],[0.66397186 0.36002315]
[0.34997689 0.17394533],[0.75001137 0.20519516],[0.66396968 0.35872727]
[0.34997635 0.17264906],[0.75001164 0.20389889],[0.6639675  0.35743139]
[0.34997581 0.1713528 ],[0.75001191 0.20260262],[0.66396533 0.35613551]
[0.34997526 0.17005654],[0.75001217 0.20130636],[0.66396315 0.35483963]
[0.34997472 0.16876027],[0.75001244 0.20001009],[0.66396097 0.35354375]
[0.34997418 0.16746401],[0.75001271 0.19871382],[0.6639588  0.35224787]
[0.34997364 0.16616774],[0.75001297 0.19741756],[0.66395662 0.35095199]
[0.3499731  0.16487148],[0.75001324 0.19612129],[0.66395445 0.34965611]
[0.34997255 0.16357522],[0.75001351 0.19482502],[0.66395227 0.34836023]
[0.34997201 0.16227895],[0.75001377 0.19352876],[0.66395009 0.34706435]
[0.34997147 0.16098269],[0.75001404 0.19223249],[0.66394792 0.34576847]
[0.34997093 0.15968643],[0.75001431 0.19093622],[0.66394574 0.34447259]
[0.34997039 0.15839016],[0.75001457 0.18963995],[0.66394356 0.34317671]
[0.34996984 0.1570939 ],[0.75001484 0.18834369],[0.66394139 0.34188082]
[0.3499693  0.15579763],[0.75001511 0.18704742],[0.66393921 0.34058494]
[0.34996876 0.15450137],[0.75001537 0.18575115],[0.66393704 0.33928906]
[0.34996822 0.15320511],[0.75001564 0.18445489],[0.66393486 0.33799318]
[0.34996768 0.15190884],[0.7500159  0.18315862],[0.66393268 0.3366973 ]
[0.34996714 0.15061258],[0.75001617 0.18186235],[0.66393051 0.33540142]
[0.34996659 0.14931632],[0.75001644 0.18056609],[0.66392833 0.33410554]
[0.34996605 0.14802005],[0.7500167  0.17926982],[0.66392615 0.33280966]
[0.34996551 0.14672379],[0.75001697 0.17797355],[0.66392398 0.33151378]
[0.34996497 0.14542753],[0.75001724 0.17667729],[0.6639218 0.3302179]
[0.34996443 0.14413126],[0.7500175  0.17538102],[0.66391963 0.32892202]
[0.34996388 0.142835  ],[0.75001777 0.17408475],[0.66391745 0.32762614]
[0.34996334 0.14153873],[0.75001804 0.17278848],[0.66391527 0.32633026]
[0.3499628  0.14024247],[0.7500183  0.17149222],[0.6639131  0.32503438]
[0.34996226 0.13894621],[0.75001857 0.17019595],[0.66391092 0.3237385 ]
[0.34996172 0.13764994],[0.75001884 0.16889968],[0.66390874 0.32244262]
[0.34996117 0.13635368],[0.7500191  0.16760342],[0.66390657 0.32114673]
[0.34996063 0.13505742],[0.75001937 0.16630715],[0.66390439 0.31985085]
[0.34996009 0.13376115],[0.75001964 0.16501088],[0.66390222 0.31855497]
[0.34995955 0.13246489],[0.7500199  0.16371462],[0.66390004 0.31725909]
[0.34995901 0.13116863],[0.75002017 0.16241835],[0.66389786 0.31596321]
[0.34995847 0.12987236],[0.75002044 0.16112208],[0.66389569 0.31466733]
[0.34995792 0.1285761 ],[0.7500207  0.15982582],[0.66389351 0.31337145]
[0.34995738 0.12727983],[0.75002097 0.15852955],[0.66389134 0.31207557]
[0.34995684 0.12598357],[0.75002124 0.15723328],[0.66388916 0.31077969]
[0.3499563  0.12468731],[0.7500215  0.15593701],[0.66388698 0.30948381]
[0.34995576 0.12339104],[0.75002177 0.15464075],[0.66388481 0.30818793]
[0.34995521 0.12209478],[0.75002204 0.15334448],[0.66388263 0.30689205]
[0.34995467 0.12079852],[0.7500223  0.15204821],[0.66388045 0.30559617]
[0.34995413 0.11950225],[0.75002257 0.15075195],[0.66387828 0.30430029]
[0.34995359 0.11820599],[0.75002284 0.14945568],[0.6638761  0.30300441]
[0.34995305 0.11690972],[0.7500231  0.14815941],[0.66387393 0.30170852]
[0.3499525  0.11561346],[0.75002337 0.14686315],[0.66387175 0.30041264]
[0.34995196 0.1143172 ],[0.75002364 0.14556688],[0.66386957 0.29911676]
[0.34995142 0.11302093],[0.7500239  0.14427061],[0.6638674  0.29782088]
[0.34995088 0.11172467],[0.75002417 0.14297434],[0.66386522 0.296525  ]
[0.34995034 0.11042841],[0.75002444 0.14167808],[0.66386304 0.29522912]
[0.3499498  0.10913214],[0.7500247  0.14038181],[0.66386087 0.29393324]
[0.34994925 0.10783588],[0.75002497 0.13908554],[0.66385869 0.29263736]
[0.34994871 0.10653962],[0.75002524 0.13778928],[0.66385652 0.29134148]
[0.34994817 0.10524335],[0.7500255  0.13649301],[0.66385434 0.2900456 ]
[0.34994763 0.10394709],[0.75002577 0.13519674],[0.66385216 0.28874972]
[0.34994709 0.10265082],[0.75002604 0.13390048],[0.66384999 0.28745384]
[0.34994654 0.10135456],[0.7500263  0.13260421],[0.66384781 0.28615796]
[0.349946  0.1000583],[0.75002657 0.13130794],[0.66384563 0.28486208]
[0.34994546 0.09876203],[0.75002684 0.13001168],[0.66384346 0.2835662 ]
[0.34994492 0.09746577],[0.7500271  0.12871541],[0.66384128 0.28227032]
[0.34994438 0.09616951],[0.75002737 0.12741914],[0.66383911 0.28097443]
[0.34994384 0.09487324],[0.75002764 0.12612287],[0.66383693 0.27967855]
[0.34994329 0.09357698],[0.7500279  0.12482661],[0.66383475 0.27838267]
[0.34994275 0.09228071],[0.75002817 0.12353034],[0.66383258 0.27708679]
[0.34994221 0.09098445],[0.75002844 0.12223407],[0.6638304  0.27579091]
[0.34994167 0.08968819],[0.7500287  0.12093781],[0.66382822 0.27449503]
[0.34994113 0.08839192],[0.75002897 0.11964154],[0.66382605 0.27319915]
[0.34994058 0.08709566],[0.75002924 0.11834527],[0.66382387 0.27190327]
[0.34994004 0.0857994 ],[0.7500295  0.11704901],[0.6638217  0.27060739]
[0.3499395  0.08450313],[0.75002977 0.11575274],[0.66381952 0.26931151]
[0.34993896 0.08320687],[0.75003004 0.11445647],[0.66381734 0.26801563]
[0.34993842 0.08191061],[0.7500303  0.11316021],[0.66381517 0.26671975]
[0.34993787 0.08061434],[0.75003057 0.11186394],[0.66381299 0.26542387]
[0.34993733 0.07931808],[0.75003084 0.11056767],[0.66381081 0.26412799]
[0.34993679 0.07802181],[0.7500311 0.1092714],[0.66380864 0.26283211]
[0.34993625 0.07672555],[0.75003137 0.10797514],[0.66380646 0.26153622]
[0.34993571 0.07542929],[0.75003164 0.10667887],[0.66380429 0.26024034]
[0.34993517 0.07413302],[0.7500319 0.1053826],[0.66380211 0.25894446]
[0.34993462 0.07283676],[0.75003217 0.10408634],[0.66379993 0.25764858]
[0.34993408 0.0715405 ],[0.75003244 0.10279007],[0.66379776 0.2563527 ]
[0.34993354 0.07024423],[0.7500327 0.1014938],[0.66379558 0.25505682]
[0.349933   0.06894797],[0.75003297 0.10019754],[0.6637934  0.25376094]
[0.34993246 0.06765171],[0.75003324 0.09890127],[0.66379123 0.25246506]
[0.34993191 0.06635544],[0.7500335 0.097605 ],[0.66378905 0.25116918]
[0.34993137 0.06505918],[0.75003377 0.09630874],[0.66378688 0.2498733 ]
[0.34993083 0.06376291],[0.75003404 0.09501247],[0.6637847  0.24857742]
[0.34993029 0.06246665],[0.7500343 0.0937162],[0.66378252 0.24728154]
[0.34992975 0.06117039],[0.75003457 0.09241993],[0.66378035 0.24598566]
[0.3499292  0.05987412],[0.75003484 0.09112367],[0.66377817 0.24468978]
[0.34992866 0.05857786],[0.7500351 0.0898274],[0.66377599 0.2433939 ]
[0.34992812 0.0572816 ],[0.75003537 0.08853113],[0.66377382 0.24209802]
[0.34992758 0.05598533],[0.75003564 0.08723487],[0.66377164 0.24080213]
[0.34992704 0.05468907],[0.7500359 0.0859386],[0.66376947 0.23950625]
[0.3499265 0.0533928],[0.75003617 0.08464233],[0.66376729 0.23821037]
[0.34992595 0.05209654],[0.75003644 0.08334607],[0.66376511 0.23691449]
[0.34992541 0.05080028],[0.7500367 0.0820498],[0.66376294 0.23561861]
[0.34992487 0.04950401],[0.75003697 0.08075353],[0.66376076 0.23432273]
[0.34992433 0.04820775],[0.75003724 0.07945727],[0.66375858 0.23302685]
[0.34992379 0.04691149],[0.7500375 0.078161 ],[0.66375641 0.23173097]
[0.34992324 0.04561522],[0.75003777 0.07686473],[0.66375423 0.23043509]
[0.3499227  0.04431896],[0.75003804 0.07556846],[0.66375206 0.22913921]
[0.34992216 0.0430227 ],[0.7500383 0.0742722],[0.66374988 0.22784333]
[0.34992162 0.04172643],[0.75003857 0.07297593],[0.6637477  0.22654745]
[0.34992108 0.04043017],[0.75003884 0.07167966],[0.66374553 0.22525157]
[0.34992054 0.0391339 ],[0.7500391 0.0703834],[0.66374335 0.22395569]
[0.34991999 0.03783764],[0.75003937 0.06908713],[0.66374117 0.22265981]
[0.34991945 0.03654138],[0.75003964 0.06779086],[0.663739   0.22136392]
[0.34991891 0.03524511],[0.7500399 0.0664946],[0.66373682 0.22006804]
[0.34991837 0.03394885],[0.75004017 0.06519833],[0.66373465 0.21877216]
[0.34991783 0.03265259],[0.75004044 0.06390206],[0.66373247 0.21747628]
[0.34991728 0.03135632],[0.7500407 0.0626058],[0.66373029 0.2161804 ]
[0.34991674 0.03006006],[0.75004097 0.06130953],[0.66372812 0.21488452]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66372594 0.21358864]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66372376 0.21229276]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66372159 0.21099688]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66371941 0.209701  ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66371724 0.20840512]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66371506 0.20710924]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66371288 0.20581336]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66371071 0.20451748]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66370853 0.2032216 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66370635 0.20192572]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66370418 0.20062983]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.663702   0.19933395]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66369983 0.19803807]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66369765 0.19674219]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66369547 0.19544631]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6636933  0.19415043]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66369112 0.19285455]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66368894 0.19155867]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66368677 0.19026279]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66368459 0.18896691]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66368242 0.18767103]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66368024 0.18637515]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66367806 0.18507927]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66367589 0.18378339]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66367371 0.18248751]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66367153 0.18119162]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66366936 0.17989574]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66366718 0.17859986]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66366501 0.17730398]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66366283 0.1760081 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66366065 0.17471222]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66365848 0.17341634]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6636563  0.17212046]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66365412 0.17082458]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66365195 0.1695287 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66364977 0.16823282]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6636476  0.16693694]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66364542 0.16564106]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66364324 0.16434518]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66364107 0.1630493 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66363889 0.16175342]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66363671 0.16045753]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66363454 0.15916165]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66363236 0.15786577]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66363019 0.15656989]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66362801 0.15527401]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66362583 0.15397813]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66362366 0.15268225]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66362148 0.15138637]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6636193  0.15009049]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66361713 0.14879461]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66361495 0.14749873]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66361278 0.14620285]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6636106  0.14490697]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66360842 0.14361109]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66360625 0.14231521]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66360407 0.14101933]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66360189 0.13972344]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66359972 0.13842756]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66359754 0.13713168]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66359537 0.1358358 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66359319 0.13453992]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66359101 0.13324404]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66358884 0.13194816]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66358666 0.13065228]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66358448 0.1293564 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66358231 0.12806052]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66358013 0.12676464]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66357796 0.12546876]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66357578 0.12417288]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6635736 0.122877 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66357143 0.12158112]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66356925 0.12028523]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66356708 0.11898935]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6635649  0.11769347]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66356272 0.11639759]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66356055 0.11510171]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66355837 0.11380583]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66355619 0.11250995]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66355402 0.11121407]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66355184 0.10991819]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66354967 0.10862231]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66354749 0.10732643]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66354531 0.10603055]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66354314 0.10473467]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66354096 0.10343879]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66353878 0.10214291]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66353661 0.10084703]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66353443 0.09955114]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66353226 0.09825526]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66353008 0.09695938]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6635279 0.0956635]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66352573 0.09436762]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66352355 0.09307174]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66352137 0.09177586]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.6635192  0.09047998]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66351702 0.0891841 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66351485 0.08788822]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66351267 0.08659234]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66351049 0.08529646]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66350832 0.08400058]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66350614 0.0827047 ]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66350396 0.08140882]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66350179 0.08011293]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349961 0.07881705]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349744 0.07752117]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349526 0.07622529]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349308 0.07492941]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
[0.34991642 0.02929639],[0.75004113 0.06054586],[0.66349189 0.07421722]
