1.0
 
[-7.36652894e-03 -1.99964960e+01],[ 3.6040136e-03 -1.9996546e+01],[ -0.0293154  -19.99139064]
[0.3499922  0.20803441],[0.75000381 0.23928433],[0.66403148 0.39280543]
[0.34999186 0.20710271],[0.75000398 0.23835263],[0.66403012 0.39187396]
[0.34999151 0.20615098],[0.75000415 0.23740089],[0.66402872 0.39092247]
[0.34999115 0.2051792 ],[0.75000433 0.23642911],[0.6640273  0.38995094]
[0.34999079 0.20418739],[0.75000451 0.2354373 ],[0.66402585 0.38895939]
[0.34999042 0.20317555],[0.75000469 0.23442545],[0.66402437 0.3879478 ]
[0.34999004 0.20214367],[0.75000487 0.23339357],[0.66402286 0.38691618]
[0.34998965 0.20109175],[0.75000506 0.23234165],[0.66402132 0.38586453]
[0.34998926 0.20001979],[0.75000526 0.23126969],[0.66401975 0.38479284]
[0.34998885 0.1989278 ],[0.75000545 0.23017769],[0.66401815 0.38370113]
[0.34998845 0.19781577],[0.75000565 0.22906566],[0.66401653 0.38258939]
[0.34998803 0.1966837 ],[0.75000586 0.22793359],[0.66401487 0.38145761]
[0.34998761 0.1955316 ],[0.75000606 0.22678149],[0.66401318 0.3803058 ]
[0.34998717 0.19435946],[0.75000627 0.22560935],[0.66401147 0.37913396]
[0.34998674 0.19316729],[0.75000649 0.22441717],[0.66400972 0.37794209]
[0.34998629 0.19195508],[0.75000671 0.22320495],[0.66400795 0.37673019]
[0.34998584 0.19072283],[0.75000693 0.2219727 ],[0.66400615 0.37549825]
[0.34998538 0.18947054],[0.75000715 0.22072042],[0.66400431 0.37424629]
[0.34998491 0.18819822],[0.75000738 0.21944809],[0.66400245 0.37297429]
[0.34998443 0.18690679],[0.75000761 0.21815665],[0.66400056 0.37168318]
[0.34998396 0.1856105 ],[0.75000785 0.21686036],[0.66399867 0.37038723]
[0.34998348 0.18431421],[0.75000808 0.21556407],[0.66399677 0.36909127]
[0.349983   0.18301792],[0.75000831 0.21426778],[0.66399487 0.36779531]
[0.34998253 0.18172163],[0.75000855 0.21297149],[0.66399297 0.36649935]
[0.34998205 0.18042535],[0.75000878 0.21167519],[0.66399108 0.36520339]
[0.34998157 0.17912906],[0.75000901 0.2103789 ],[0.66398918 0.36390743]
[0.3499811  0.17783277],[0.75000925 0.20908261],[0.66398728 0.36261147]
[0.34998062 0.17653648],[0.75000948 0.20778632],[0.66398539 0.36131552]
[0.34998014 0.17524019],[0.75000971 0.20649002],[0.66398349 0.36001956]
[0.34997967 0.1739439 ],[0.75000995 0.20519373],[0.66398159 0.3587236 ]
[0.34997919 0.17264761],[0.75001018 0.20389744],[0.6639797  0.35742764]
[0.34997871 0.17135132],[0.75001041 0.20260115],[0.6639778  0.35613168]
[0.34997824 0.17005503],[0.75001065 0.20130485],[0.6639759  0.35483572]
[0.34997776 0.16875874],[0.75001088 0.20000856],[0.66397401 0.35353976]
[0.34997728 0.16746245],[0.75001111 0.19871227],[0.66397211 0.3522438 ]
[0.34997681 0.16616617],[0.75001135 0.19741598],[0.66397021 0.35094785]
[0.34997633 0.16486988],[0.75001158 0.19611969],[0.66396832 0.34965189]
[0.34997585 0.16357359],[0.75001181 0.19482339],[0.66396642 0.34835593]
[0.34997538 0.1622773 ],[0.75001205 0.1935271 ],[0.66396452 0.34705997]
[0.3499749  0.16098101],[0.75001228 0.19223081],[0.66396262 0.34576401]
[0.34997442 0.15968472],[0.75001251 0.19093452],[0.66396073 0.34446805]
[0.34997395 0.15838843],[0.75001275 0.18963822],[0.66395883 0.34317209]
[0.34997347 0.15709214],[0.75001298 0.18834193],[0.66395693 0.34187613]
[0.34997299 0.15579585],[0.75001321 0.18704564],[0.66395504 0.34058018]
[0.34997252 0.15449956],[0.75001345 0.18574935],[0.66395314 0.33928422]
[0.34997204 0.15320328],[0.75001368 0.18445306],[0.66395124 0.33798826]
[0.34997156 0.15190699],[0.75001391 0.18315676],[0.66394935 0.3366923 ]
[0.34997109 0.1506107 ],[0.75001414 0.18186047],[0.66394745 0.33539634]
[0.34997061 0.14931441],[0.75001438 0.18056418],[0.66394555 0.33410038]
[0.34997013 0.14801812],[0.75001461 0.17926789],[0.66394366 0.33280442]
[0.34996966 0.14672183],[0.75001484 0.17797159],[0.66394176 0.33150847]
[0.34996918 0.14542554],[0.75001508 0.1766753 ],[0.66393986 0.33021251]
[0.3499687  0.14412925],[0.75001531 0.17537901],[0.66393796 0.32891655]
[0.34996823 0.14283296],[0.75001554 0.17408272],[0.66393607 0.32762059]
[0.34996775 0.14153667],[0.75001578 0.17278643],[0.66393417 0.32632463]
[0.34996727 0.14024039],[0.75001601 0.17149013],[0.66393227 0.32502867]
[0.3499668 0.1389441],[0.75001624 0.17019384],[0.66393038 0.32373271]
[0.34996632 0.13764781],[0.75001648 0.16889755],[0.66392848 0.32243675]
[0.34996584 0.13635152],[0.75001671 0.16760126],[0.66392658 0.3211408 ]
[0.34996536 0.13505523],[0.75001694 0.16630496],[0.66392469 0.31984484]
[0.34996489 0.13375894],[0.75001718 0.16500867],[0.66392279 0.31854888]
[0.34996441 0.13246265],[0.75001741 0.16371238],[0.66392089 0.31725292]
[0.34996393 0.13116636],[0.75001764 0.16241609],[0.663919   0.31595696]
[0.34996346 0.12987007],[0.75001788 0.1611198 ],[0.6639171 0.314661 ]
[0.34996298 0.12857378],[0.75001811 0.1598235 ],[0.6639152  0.31336504]
[0.3499625 0.1272775],[0.75001834 0.15852721],[0.66391331 0.31206908]
[0.34996203 0.12598121],[0.75001858 0.15723092],[0.66391141 0.31077313]
[0.34996155 0.12468492],[0.75001881 0.15593463],[0.66390951 0.30947717]
[0.34996107 0.12338863],[0.75001904 0.15463833],[0.66390761 0.30818121]
[0.3499606  0.12209234],[0.75001928 0.15334204],[0.66390572 0.30688525]
[0.34996012 0.12079605],[0.75001951 0.15204575],[0.66390382 0.30558929]
[0.34995964 0.11949976],[0.75001974 0.15074946],[0.66390192 0.30429333]
[0.34995917 0.11820347],[0.75001998 0.14945316],[0.66390003 0.30299737]
[0.34995869 0.11690718],[0.75002021 0.14815687],[0.66389813 0.30170141]
[0.34995821 0.11561089],[0.75002044 0.14686058],[0.66389623 0.30040546]
[0.34995774 0.11431461],[0.75002067 0.14556429],[0.66389434 0.2991095 ]
[0.34995726 0.11301832],[0.75002091 0.144268  ],[0.66389244 0.29781354]
[0.34995678 0.11172203],[0.75002114 0.1429717 ],[0.66389054 0.29651758]
[0.34995631 0.11042574],[0.75002137 0.14167541],[0.66388865 0.29522162]
[0.34995583 0.10912945],[0.75002161 0.14037912],[0.66388675 0.29392566]
[0.34995535 0.10783316],[0.75002184 0.13908283],[0.66388485 0.2926297 ]
[0.34995488 0.10653687],[0.75002207 0.13778653],[0.66388295 0.29133375]
[0.3499544  0.10524058],[0.75002231 0.13649024],[0.66388106 0.29003779]
[0.34995392 0.10394429],[0.75002254 0.13519395],[0.66387916 0.28874183]
[0.34995345 0.102648  ],[0.75002277 0.13389766],[0.66387726 0.28744587]
[0.34995297 0.10135172],[0.75002301 0.13260137],[0.66387537 0.28614991]
[0.34995249 0.10005543],[0.75002324 0.13130507],[0.66387347 0.28485395]
[0.34995202 0.09875914],[0.75002347 0.13000878],[0.66387157 0.28355799]
[0.34995154 0.09746285],[0.75002371 0.12871249],[0.66386968 0.28226203]
[0.34995106 0.09616656],[0.75002394 0.1274162 ],[0.66386778 0.28096608]
[0.34995059 0.09487027],[0.75002417 0.1261199 ],[0.66386588 0.27967012]
[0.34995011 0.09357398],[0.75002441 0.12482361],[0.66386399 0.27837416]
[0.34994963 0.09227769],[0.75002464 0.12352732],[0.66386209 0.2770782 ]
[0.34994916 0.0909814 ],[0.75002487 0.12223103],[0.66386019 0.27578224]
[0.34994868 0.08968511],[0.75002511 0.12093474],[0.66385829 0.27448628]
[0.3499482  0.08838883],[0.75002534 0.11963844],[0.6638564  0.27319032]
[0.34994773 0.08709254],[0.75002557 0.11834215],[0.6638545  0.27189436]
[0.34994725 0.08579625],[0.75002581 0.11704586],[0.6638526  0.27059841]
[0.34994677 0.08449996],[0.75002604 0.11574957],[0.66385071 0.26930245]
[0.3499463  0.08320367],[0.75002627 0.11445327],[0.66384881 0.26800649]
[0.34994582 0.08190738],[0.75002651 0.11315698],[0.66384691 0.26671053]
[0.34994534 0.08061109],[0.75002674 0.11186069],[0.66384502 0.26541457]
[0.34994487 0.0793148 ],[0.75002697 0.1105644 ],[0.66384312 0.26411861]
[0.34994439 0.07801851],[0.75002721 0.10926811],[0.66384122 0.26282265]
[0.34994391 0.07672222],[0.75002744 0.10797181],[0.66383933 0.26152669]
[0.34994344 0.07542594],[0.75002767 0.10667552],[0.66383743 0.26023074]
[0.34994296 0.07412965],[0.7500279  0.10537923],[0.66383553 0.25893478]
[0.34994248 0.07283336],[0.75002814 0.10408294],[0.66383364 0.25763882]
[0.34994201 0.07153707],[0.75002837 0.10278664],[0.66383174 0.25634286]
[0.34994153 0.07024078],[0.7500286  0.10149035],[0.66382984 0.2550469 ]
[0.34994105 0.06894449],[0.75002884 0.10019406],[0.66382794 0.25375094]
[0.34994058 0.0676482 ],[0.75002907 0.09889777],[0.66382605 0.25245498]
[0.3499401  0.06635191],[0.7500293  0.09760148],[0.66382415 0.25115903]
[0.34993962 0.06505562],[0.75002954 0.09630518],[0.66382225 0.24986307]
[0.34993914 0.06375933],[0.75002977 0.09500889],[0.66382036 0.24856711]
[0.34993867 0.06246305],[0.75003   0.0937126],[0.66381846 0.24727115]
[0.34993819 0.06116676],[0.75003024 0.09241631],[0.66381656 0.24597519]
[0.34993771 0.05987047],[0.75003047 0.09112001],[0.66381467 0.24467923]
[0.34993724 0.05857418],[0.7500307  0.08982372],[0.66381277 0.24338327]
[0.34993676 0.05727789],[0.75003094 0.08852743],[0.66381087 0.24208731]
[0.34993628 0.0559816 ],[0.75003117 0.08723114],[0.66380898 0.24079136]
[0.34993581 0.05468531],[0.7500314  0.08593484],[0.66380708 0.2394954 ]
[0.34993533 0.05338902],[0.75003164 0.08463855],[0.66380518 0.23819944]
[0.34993485 0.05209273],[0.75003187 0.08334226],[0.66380328 0.23690348]
[0.34993438 0.05079644],[0.7500321  0.08204597],[0.66380139 0.23560752]
[0.3499339  0.04950016],[0.75003234 0.08074968],[0.66379949 0.23431156]
[0.34993342 0.04820387],[0.75003257 0.07945338],[0.66379759 0.2330156 ]
[0.34993295 0.04690758],[0.7500328  0.07815709],[0.6637957  0.23171964]
[0.34993247 0.04561129],[0.75003304 0.0768608 ],[0.6637938  0.23042369]
[0.34993199 0.044315  ],[0.75003327 0.07556451],[0.6637919  0.22912773]
[0.34993152 0.04301871],[0.7500335  0.07426821],[0.66379001 0.22783177]
[0.34993104 0.04172242],[0.75003374 0.07297192],[0.66378811 0.22653581]
[0.34993056 0.04042613],[0.75003397 0.07167563],[0.66378621 0.22523985]
[0.34993009 0.03912984],[0.7500342  0.07037934],[0.66378432 0.22394389]
[0.34992961 0.03783355],[0.75003443 0.06908305],[0.66378242 0.22264793]
[0.34992913 0.03653727],[0.75003467 0.06778675],[0.66378052 0.22135197]
[0.34992866 0.03524098],[0.7500349  0.06649046],[0.66377863 0.22005602]
[0.34992818 0.03394469],[0.75003513 0.06519417],[0.66377673 0.21876006]
[0.3499277 0.0326484],[0.75003537 0.06389788],[0.66377483 0.2174641 ]
[0.34992723 0.03135211],[0.7500356  0.06260158],[0.66377293 0.21616814]
[0.34992675 0.03005582],[0.75003583 0.06130529],[0.66377104 0.21487218]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66376914 0.21357622]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66376724 0.21228026]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66376535 0.21098431]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66376345 0.20968835]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66376155 0.20839239]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66375966 0.20709643]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66375776 0.20580047]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66375586 0.20450451]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66375397 0.20320855]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66375207 0.20191259]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66375017 0.20061664]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66374827 0.19932068]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66374638 0.19802472]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66374448 0.19672876]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66374258 0.1954328 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66374069 0.19413684]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66373879 0.19284088]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66373689 0.19154492]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.663735   0.19024897]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6637331  0.18895301]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6637312  0.18765705]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66372931 0.18636109]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66372741 0.18506513]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66372551 0.18376917]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66372361 0.18247321]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66372172 0.18117725]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66371982 0.1798813 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66371792 0.17858534]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66371603 0.17728938]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66371413 0.17599342]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66371223 0.17469746]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66371034 0.1734015 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66370844 0.17210554]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66370654 0.17080959]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66370465 0.16951363]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66370275 0.16821767]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66370085 0.16692171]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66369896 0.16562575]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66369706 0.16432979]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66369516 0.16303383]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66369326 0.16173787]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66369137 0.16044192]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66368947 0.15914596]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66368757 0.15785   ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66368568 0.15655404]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66368378 0.15525808]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66368188 0.15396212]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66367999 0.15266616]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66367809 0.1513702 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66367619 0.15007425]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6636743  0.14877829]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6636724  0.14748233]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6636705  0.14618637]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6636686  0.14489041]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66366671 0.14359445]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66366481 0.14229849]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66366291 0.14100254]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66366102 0.13970658]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66365912 0.13841062]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66365722 0.13711466]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66365533 0.1358187 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66365343 0.13452274]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66365153 0.13322678]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66364964 0.13193082]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66364774 0.13063487]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66364584 0.12933891]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66364394 0.12804295]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66364205 0.12674699]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66364015 0.12545103]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66363825 0.12415507]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66363636 0.12285911]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66363446 0.12156315]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66363256 0.1202672 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66363067 0.11897124]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66362877 0.11767528]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66362687 0.11637932]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66362498 0.11508336]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66362308 0.1137874 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66362118 0.11249144]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66361929 0.11119548]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66361739 0.10989953]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66361549 0.10860357]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66361359 0.10730761]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6636117  0.10601165]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6636098  0.10471569]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.6636079  0.10341973]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66360601 0.10212377]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66360411 0.10082782]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66360221 0.09953186]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66360032 0.0982359 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66359842 0.09693994]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66359652 0.09564398]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66359463 0.09434802]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66359273 0.09305206]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66359083 0.0917561 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66358893 0.09046015]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66358704 0.08916419]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66358514 0.08786823]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66358324 0.08657227]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66358135 0.08527631]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66357945 0.08398035]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66357755 0.08268439]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66357566 0.08138843]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66357376 0.08009248]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66357186 0.07879652]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356997 0.07750056]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356807 0.0762046 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356617 0.07490864]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
[0.34992647 0.02929616],[0.75003597 0.06054563],[0.66356516 0.0742182 ]
